Input,Result
"We've removed unnecessary restraints on our warfighters in Afghanistan. Those who risk their life and limb for our country, they deserve rules of engagement that give them the best opportunity to finally defeat the enemy. And we're making--for the first time in years, we're making a lot of progress in Afghanistan.",yes
"We have a chance now to pass into law the immigration reforms that the American people have been demanding for decades and that many of you have been working on for your entire careers. We have a great opportunity as a Republican Party. As the Republican Party, we have a great opportunity. We're getting very little help from the Democrats, but I hope after I leave this room, we're going to get a call from these people saying, ""Let's go.""",yes
"And I've been able to talk to many of those states. And I just remind all of us, when I talked to each one of these state health officials, where they are finding outbreaks are in nursing homes. And so we really knew to--need to continue to protect and we continue to test in nursing homes, because we know that that's a particularly vulnerable group and it's a group we're often--now that we're beginning to understand asymptomatic transmission.",yes
"From the instant I took office, I moved rapidly to revive the U. S. economy--slashing a record number of job-killing regulations, enacting historic and record-setting tax cuts, and fighting for fair and reciprocal trade agreements. Our agenda is relentlessly pro-worker, pro-family, pro-growth, and, most of all, pro-American. Thank you. We are advancing with unbridled optimism and lifting our citizens of every race, color, religion, and creed very, very high.",yes
"You know, the truth is that we have coronavirus cases now in 46 American states. And while the risk of serious illness of the coronavirus remains low, we want to encourage every American to practice common sense, practice good hygiene, go to the CDC's website to see what the guidance is for your community or for the American people broadly.",yes
"I want to speak now directly to America's children, especially those who feel lost, alone, confused or even scared: I want you to know that you are never alone and you never will be. You have people who care about you, who love you, and who will do anything at all to protect you. If you need help, turn to a teacher, a family member, a local police officer, or a faith leader. Answer hate with love; answer cruelty with kindness.",no
The last two lines are aerosols. What does it do in the air? We have a very unique capability--I was discussing this with the President prior to coming out; he wanted me to convey it to you--on how we do this. I believe we're the only lab in the country that has this capability.,yes
"These encouraging developments have put us in a very strong position to finalize guidelines for states on reopening the country, which we'll be announcing. We're going to be talking about that tomorrow. We'll be having a news conference tomorrow sometime during the afternoon. We're going to be announcing guidelines, and we'll be talking about various states. And it's very exciting.",yes
"Very importantly, we entered into historic cooperation agreements with the governments of Mexico, Honduras, El Salvador, and Guatemala. As a result of our unprecedented efforts, illegal crossings are down 75 percent since May, dropping eight straight months in a row. And as the wall rapidly goes up, drug seizures rise, and the border crossings are down, and going down very rapidly.",yes
"That's page 1,689; page 1,762. Think of it: 1,762. And that's nowhere near the end of their bill. They have things in there that nobody has even at the time to look at or read. These people--I don't--I honestly don't believe they love our country, you want to know the truth.",yes
"But does anybody really believe the numbers of some of these countries that you've been watching and you've been reporting on? And then, it's like they didn't have the big thing. They have been some really, really bad--heavily--and really, some countries that are in big, big trouble. And they're not reporting the facts. And that's up to them.",yes
"And you'll see some data when Admiral Polowczyk gets up in just a few moments, but the flow of resources from around the world that we've moved into areas that have faced challenges--I mean, this President has directed us to ensure that every state has what they need, when they need it. And the spirit that I heard again from Republicans and Democrat governors today was reflective of that partnership.",yes
"To the citizens of our country, serving as your president has been the honor of my lifetime. And to all of my wonderful supporters, I know you are disappointed but I also want you to know that our incredible journey is only just beginning. Thank you, God bless you, and God bless America.",yes
"And, as you know, Europe was just designated as the hotspot right now, and we closed that border a while ago. So that was lucky or through talent or through luck. Call it whatever you want. But through a very collective action and shared sacrifice and national determination, we will overcome the threat of the virus.",yes
