Input,Result
"When is Putin going to see sense and note that his conventional military forces can’t take Ukraine let alone a NATO member? This question is 2 years and 4 months old: it was asked on April 16, 2022 — less than 2 months after the start of Russia’s full-scale invasion of Ukraine. In over 2 years, Putin hasn’t figured out that his war is doomed — and keeps destroying Russia, its past, present and future. Russia has lost its reputation of a strong military power, lost hundreds of thousands of men on the battlefield (and millions to emigration), destabilized and cannibalized its economy, wasted enormous human and material resources, got pushed out of its most lucrative international markets, exhausted its already worn out and under-maintained infrastructure, with no ability to afford capital investment. In July 2024, Russia managed to gain more territory (red dots) — and lost 50,000 men doing that. The situation looks even more pointless for Russia if we look at the larger map. In fact, Russia still controls about the same percentage of the Ukrainian territory as in December 2022 — and much less than 2 years ago. Russia’s territorial gains of “800 square km” in 2024, which the Russian ministry of defence brags about, should be viewed to scale — Ukraine is 603,628 square km in size. 800 square km is 0.13%. To gain it, Russia has lost 200,000 men. 2.5 years after the start of the full-scale war, Russia is still unable to gain the full control of Donetsk region — the goal that Putin announced since day 1. 2.5 years!! At this rate, Russia will reach the borders of the Donetsk region in a few decades, having burned down its entire male population. With every month, Russia has to throw in more men than before — but the gains are getting smaller, not bigger. There are many reasons for that, including the quality of new recruits — it dropped substantially since the start of the war, as well as increased sophistication of the warfare — by now, drones became the leading defense tool for Ukraine, and Russia is unable to keep up the pace. The war that Putin refuses to stop is eating Russia from the inside like cancer. The Russian Federation wanted to absorb Ukraine, but in the process started eating itself. If Russia doesn’t lose any of its territories as the result of this war, I’ll be very surprised.",yes
"What impact could imprisoned ultranationalist Igor Girkin's political maneuvers have on Russian President Vladimir Putin? Yesterday, the appeal court upheld the verdict of the Moscow City Court against the 53-year-old former commander of pro-Russian separatists in Donetsk Igor Girkin. Girkin (Strelkov), who is a former FSB officer, was arrested a month after the infamous Prigozhin’s coup of June 2023, and charged with “extremism”. While we know there is basically no such thing as “a former FSB officer” (you are always either an asset of the force — or a traitor, sentenced to elimination), for a long time, Girkin’s rants about the sorry state of affairs in the Russian army fighting in Ukraine didn’t cause him any trouble. So much so that most people decided that Girkin-Strelkov had powerful backers among the FSB ranks who were playing their own game. But after Prigozhin’s aborted coup, the rules of the game obviously changed. As soon as Prigozhin and his goons had been removed from the scene and their influence nullified, Girkin (who was actually a fierce opponent of Prigozhin) was arrested and thrown in Lefortovo prison — the same FSB pre-trial jail where recently arrested generals of the ministry of defence are now locked up. In January 2024, Girkin was found guilty and sentenced to 4 years in prison. Girkin’s family members were not allowed into the court during yesterday’s hearing, his wife Miroslava Reginskaya wrote on Telegram. In the near future, Girkin will be transferred to the penal colony. It was previously reported that the ex-separatist leader expressed a desire to join the Russian armed forces and go to the war in Ukraine — the war, which he personally unleashed in 2014. Under the Russian law, those convicted of extremism are not eligible for “conditional release” granted to those who sign the contract with the ministry of defence, to go to the war. Thus, Girkin can only sign an army contract if Vladimir Putin pardons him. Which will never happen — free and unhinged Girkin is a real threat to Putin’s regime, especially with a weapon in his hands. Plus he knows too much and would be a perfect witness for Putin’s Hague trial. And his worst offense, he insulted Putin personally — which makes Girkin a “traitor”, an unforgivable sin in the eyes of vengeful Putin. When his time of release gets near, Girkin will either “suddenly die” or get a new jail term — this time a much longer one. Girkin posted enough to be sentenced for “treason”, “discrediting the army” — or dozens of other offenses, designed by Putin’s regime to lock up the people who cause trouble. Girkin is finished. Anyone who is still supporting him might find themselves in FSB “interview rooms” pretty soon.",yes
"Why do you think the Russian government has refused to open a criminal investigation into the death of Alexei Navalny? The Russian state officially announced they wouldn’t be investigating the death of oppositionist Alexei Navalny — naturally, the FSB doesn’t want anyone near the obvious murder case, implicating Putin’s regime. Apparently, Navalny became unwell during his morning walk. He complained of a sharp stomach pain. He was taken back to the solo punishment cell by the guards, where he was thrown for some “violation”. It was the 27th time Navalny was in a solo punishment cell, usually this would be a 14-day punishment. He was found unresponsive in his cell later by guards and taken to medical quarters, an ambulance was called, but couldn’t revive him. A day before his death Navalny participated in a video hearing of his complaint and was in good spirits, appearing healthy. 2 days before his death, his parents visited him in prison, and also reported he was feeling well. The details on the actual circumstances of Navalny’s death were apparently reported by some guards or other prisoners through connections that his friend, investigator Christo Grozev, and other anti-Putin Russians in exile have within the Russian prison system. The papers provided by the Russian investigative committee, refusing to investigate causes of death, say that Navalny was taken to the medics from the walk. The official document also doesn’t mention Navalny’s complaint about the sharp stomach pain. Death was recorded at 2:17 pm. The time of death was recorded at that time, which is already fake, as he had likely died in the cell — he was unconscious when taken to the medical quarters. ”He was dying alone,” said Navalny’s widow Yulia. The cause of death is listed as “the combination of several illnesses”, and the main cause as “arrhythmia” (which is unidentifiable posthumously and never previously was diagnosed). Looks like Navalny might have been poisoned by an unknown toxin. Which probably will be never found, because the family agreed to bury the body. It’s 6 months since the death of Alexei Navalny. The team of investigators, linked to his exiled colleagues, still didn’t post anything conclusive about the causes of his death, but it’s possible they know much more than what his widow Yulia Navalnaya revealed in her yesterday’s video. It’s possible they even know the names of those FSB officers who visited the prison at the time, tasked to kill Navalny.",yes
"Is Trump right about negotiating with Putin? “Somebody has to help this country. And if they don’t, the country and the world are in a big trouble. Because in the short period of time, as sure as we are sitting here, there won’t be a country and there won’t be a world.” This tirade is from Donald Trump’s interview circa 1985. (Video in the comments below.) “You said that you could do a better job negotiating an arms control agreement with the Soviets than some of these professionals who’ve been trying to do it for years?” asks the interviewer. “If it were me, it would be fine. I can do it,” states Trump. In 1985, Trump didn’t get a chance to negotiate with the Soviets. So, indeed, there is no such country anymore: in 1991, the USSR ceased to exist. If there are no negotiations with Putin, then the Russian Federation might cease to exist, too. Or, more likely, Putin’s regime will cease to exist first. Meanwhile, residents of Russian town of Belgorod seem to be waking up from the propaganda-induced dream. “Why do we live like this? Why there’s no protection for people? Why don’t we have bomb shelters? Why are we forced to hide in basements? Why are we forced to evacuate somewhere – we don’t even know where, to leave our apartments? Why do they adopt laws about mass burials in peaceful time? What does it mean? What do these laws involve?” asked the delegate from the group that united representatives from several border regions. Belgorod region is under daily strikes from Ukraine, which are targeting military facilities and artillery locations that attack Kharkiv region of Ukraine since February 2022. Belgorod residents don’t want to evacuate because their homes will surely be looted and most likely also destroyed: if people are gone, Russian troops use their homes as fortifications. The speaker continued: “We will demand that those responsible for protecting the population are held accountable. We demand an immediate resignation of the president of the Russian Federation, Putin Vladimir Vladimirovich.” The activists also demanded the governor of Belgorod region to resign and be checked for the crimes of negligence and sabotage. This is very different to regular video appeals that Russians record (usually standing on their knees) begging Putin for help. There were power outages in Belgorod region lately, so the people weren’t getting their regular daily dose of TV propaganda. Maybe that’s the reason why their eyes suddenly opened to the true reasons for their misery?",no
"Why are the Russians targeting residential areas in Ukraine? A captain of a Russian ship confessed targeting residential buildings: “If it’s a 5-storey building, then we aim at the entrance. If it doesn’t hit this one, then it will definitely hit some other building in the neighborhood.” He said the precision of the strikes is “within inches”. So, Russians themselves admit what they are doing. Russian military bloggers reveal why they are doing it: because they want to make Ukrainians surrender, because Russia can’t “win” otherwise. Targeting residential buildings is a completely deliberate strategy. Weirdly, there are still some people in the West buying Russia’s excuses.",yes
"Is Europe ready for a new arms race? “It is time for Europe to build a true European Defence Union,” posted Ursula von der Leyen after her re-election as president of the European Commission. Her candidacy was supported by 401 members of the European Parliament (284 members voted against, 15 abstained). Von der Leyen recalled the barbaric attack on the ‘Okhmatdyt’ children’s hospital in Kyiv, saying that “this attack was not a mistake, it was a signal” and stating that Europe’s response must be resolute. “No one wants peace more than Ukraine and the Ukrainian people. A just and sustainable peace for a free and independent country. And Europe will support Ukraine as long as it takes,” she added. Von der Leyen's re-election and her strong attitude show that the Kremlin was unable to split the European Union on the issue of supporting Ukraine. Which is good news.",no
"Does Russia have an ""advanced economy""? That’s a major road in Yakutia — an autonomous republic in Siberia, Russia, which is rich in oil, gas, diamonds and gold. (Video in the comments below.) This is where a lot of Russian resources are being extracted from the ground to be sold abroad. Yakutia doesn’t get much back from the Moscow government. Putin continues confiscating large factories and industrial plants from the owners, who got control over former Soviet assets during privatization in 1990s. For 30 years, no one at the top of the Russian state had a problem with the way that Soviet assets had been privatized in 1990s. But Putin began a big war and managed to install a full-on dictatorship in Russia, so he is now confiscating whatever he wishes, stating that the owners either acquired the assets incorrectly, or were not operating them correctly. Russian oligarchs who chose not to make noise when Putin started the war in Ukraine for the fear of losing their assets, and decided not to speak up about the Russian state taking away the remains of citizens’ rights and freedoms, are now losing both their assets and their freedom — literally (the owners are arrested and thrown in jail). In Moscow, 5-star hotel “Four Seasons”, located next to the Kremlin, has just been seized from its owner, 50-year-old Alexei Khotin. Khotin was sentenced to 9 years imprisonment in March 2024. Alexei Khotin is a former owner of Yugra Bank. Since 2022, based on claims from the Prosecutor General’s Office, more than 100 large Russian enterprises have been seized from their owners in favor of the state. The total value of seized assets is 1.3 trillion ruble. Putin claims that the Russian economy is growing, but in fact, officially 1/3 of Russia’s budget is now spent on military expenses. De facto, it’s over 50%, because there are massive expenses on propaganda and also part of the budget is classified (presumed military spending). Military production brings no value to Russia, because everything is shipped to Ukraine, where it’s getting blown into smithereens. It doesn’t create national wealth, nor it improves people’s lives. This is why Russia’s claimed “economic growth” is false — military expenditure (which includes not only the production of weapons, but also the logistics to deliver the weapons to Ukraine) must be deducted from the GDP figure, to understand what is really happening with the Russian economy. Meanwhile, the spending on maintenance and new infrastructure projects in Russia hit record lows, due to the lack of funds — everything is spent on the war. That’s the quality of roads in the vicinity of Siberian cities of Lensk, Mirny, Chernyshevsk and others. During the period when Lena River isn’t under ice, goods are delivered to Lensk by boats. Then trucks transport the goods to populated areas. Meanwhile, the Russian TV happily announced that regular tours to North Korea are now available for Russian tourists. Important guests from Taliban were begged to attend the “International Economic Forum” in St. Petersburg (probably, paid to come). After attending the forum on economics, the Taliban reps will fly to Kazan, Russia, to share their experience in the field of education at the forum “Shaping the Future”. The Taliban who banned girls from going to school, women from teaching at universities — or even getting outside their homes without a burqa, and where women can be publicly stoned to death. 20 years ago, I would have never believed that Russians would admire and sing praises to the North Korea, Iranian ayatollahs, Yemeni Houthis and the Taliban. But we have what we have. And Russians don’t even find it weird.",yes
"Why do Russians put up with Putin? Vladimir Putin was appointed the Chairman of the Government of the Russian Federation in August 1999 — a quarter of a century ago. 4 months later, Russian President Boris Yeltsin officially resigned, leaving Putin in charge of Russia. It was Yeltsin’s “Family” — his daughter, her husband, and his neo-oligarch friends — who picked a “no-name” ex-KGB clerk to rule Russia, in exchange to guarantees of personal safety and protection of their wealth — acquired during privatization of the USSR assets during 1990s (effectively, stolen from the Soviet people). Daughter of the first Russian president Tatyana Dyachenko and her husband Valentin Yumashev, head of Yeltsin’s presidential administration. Putin agreed to all “conditions” when he came to power — and immediately began enriching himself and his own friends. But Putin used his KGB training. KGB operatives are trained to always hide their plans and never tell the truth. So, Putin was always telling the Russian people what they wanted to hear, gave strong promises he never intended to keep, and concealed what he was actually doing. Putin put personal loyalty to him over professionalism and ability, removed anyone smart and capable from leadership positions, dismantled the free media and liquidated — one by one — all his opponents. The ex-Soviet people, who never actually learned critical thinking and never acquired self-respect and dignity during the short pseudo-democratic period of 1989–1999 — shadowed by the hyper-inflation unleashed by the ex-communists who retained the power, who needed the economic collapse to steal the Soviet assets from the people, causing mass poverty and suffering, amidst the background of mushrooming crime and gang wars stemming from the Soviet exit from Afghanistan and return of combatants who found themselves not needed and without means in the fast-changing reality of collapsing communism — so, these ex-Soviet people, exhausted by the decade of “pseudo-democracy”, were ecstatic to relax back into the reality where someone else was making decisions for them. Putin started his work at the helm of the Russian government by making himself known and visible: he ordered the FSB to bomb apartment towers in Moscow, Buynaksk, and Volgodonsk, which killed 300 people — but terrified all 146 million of Russian citizens. “Chechen terrorists” were blamed, and Putin began the Second Chechen war. Putin rules through lies, war and terror. He is a murderer and a thief who was given a giant country to rule, and he turned it into a mafia state — in accordance with his upbringing by a criminal boss, who happened to be his first judo trainer. It was that mafia boss that told him to go to a KGB school. Putin as a teenager. After becoming the president of Russia, he made his childhood friends billionaires, in exchange to unconditional loyalty. “Traitors” were mercilessly executed. A sadistic psychopath, trained by the mafia and KGB, put at the helm of the largest country in the world, what could go wrong? The Soviet people, after 70 years of communism, shaped by Stalin’s purges that liquidated anyone with intelligence, initiative and pride, and 2 world wars, where people were sent into never-ending slaughter of meat attacks, shaped by famines, repressions and totalitarian propaganda, were pliable, bred by the tyrannical regime for compliance and obedience. And that obedience takes roots in the centuries when Muscovy was part of the Mongol empire, and Russian princes were vassals of Mongol Khans. And then the Muscovy princes pushed away the Khans — and became just as ruthless rulers themselves. That innate obedience takes roots in the Russian slavery — noblemen owned peasants until 1861. The owners could do anything they wanted with the serfs, from raping virgins prior to giving them into marriage (at the age of 12–13) — the owner could pick the groom he preferred or allow the slave’s parents to pick one, to using girls for his unofficial harem (as servants in the estate). From casual beatings for various offenses (many had been beaten to death), to selling them to another owner, separating families, just on a whim. Slave peasants weren’t paid, they were working for food and shelter (the nobleman owned the land where they lived). The majority of Russian people never learned critical thinking, dignity and self-respect. They exist in the environment ruled by a tyranny of the state, permeated by state propaganda, corruption and unfairness. They exist, survive and endure — they don’t “live” in the true meaning of that word.",yes
"What are the impacts of the fires at the Proletarsk oil depot in Russia on the environment? The fire at the strategic oil depot in the ARussian town of Proletarsk in Rostov region has been burning for 9 days, and almost all fuel had burnt out. (Video in the comments below.) But despite the smoke tail of 60 km long, the local enviromental control authorities assured residents that the quality of air was fine. Notwithstanding, the annual celebration of the Day of the City got cancelled by the administration, as well as all other outdoor activities — even though it’s the 100-year-anniversary of the district. The district administration's press service stated that the festivities were cancelled due to ""the current situation in the district."" (“The situation” is also the word used by Vladimir Putin to describe the Ukrainian invasion of Russia in the Kursk region.) Residents of Proletarsk complain that they have ""no air to breathe"" and are buying up masks to breathe filtered air. Locals are afraid to eat the vegies from their gardens: when they wash them, the water turns black. Compared to the first week of the fire, it looks like the flames are getting smaller, expectedly, as not much fuel is left. The fire began as the result of the Ukrainian drone attack on August 18. After 4 days, the local authorities even called priests to perform a prayer service, asking for divine assistance in putting out the flames. The prayers didn’t work; attempts to control the fire by firemen also didn’t work. Over 40 firemen got injured. The fuel depot had 74 giant tanks storing different types of fuel, including specific types of aviation kerosine. Russia’s ministry of emergency situations that controls the fire service didn’t post any information about the raging fire in Proletarsk, which was visible on satellite photos. The reason for the silence — not to give information to the Ukrainian Telegram channels, which would celebrate their success. At the beginning of the war, it was Russia that was destroying oil depots in Ukraine with missile strikes. Ukraine is simply paying back.",yes
"Is it true that all of Russia is built on lies and deception? Vadim Krasikov, who was imprisoned in Germany for a murder of a former Chechen rebel leader in Berlin, worked for the Russian security service FSB, Putin admits. He previously denied this. Apparently, Vadim Krasikov’s connection to Vladimir Putin goes back to 1990’s when he was a bodyguard for Putin during his time as Sobchak’s aide. Some even say that it was Krasikov who is responsible for Sobchak’s assassination in February 2000 after his return to Russia. After Putin failed to get Sobchak re-elected as the mayor of St. Petersburg in 1996 (Putin was the chief of his election campaign), the ex-mayor had an economic crimes investigative commission after him and emigrated to avoid prosecution for corruption and theft. Anatoly Sobchak with his aide Vladimir Putin. Sobchak lived in France since 1997 and returned only in July 1999 — 2 weeks before Boris Yeltsin officially appointed Putin as the head of the government (it was by then obviously a done deal). It was Yeltsin’s “Family” — his daughter Tatyana, her husband Valentin Yumashev and his oligarch friends — who actually were responsible for the selection of Yeltsin’s successor. They picked Putin because he promised them to keep the “Family” free from prosecution for any misdeeds and allow them to keep the wealth they seized when the USSR state assets were stolen from the people in 1990s. Sobchak’s daughter Ksenia made a film “The Case” (“Delo Sobchaka”) in 2018 that depicts how Putin organized a “special operation” to allow Sobchak to emigrate to avoid prosecution: officially he left to get a treatment for ill health. Reportedly, when Anatoly Sobchak was told for the first time that his former aide would become a president of Russia, he found the idea hilarious: the ex-mayor of St. Petersburg didn’t believe that Putin was fit for the job. So, after he was lured to return to Russia, Anatoly Sobchak died within months — before Putin’s official election as the president in March 2000. In her book “The Man Without a Face: The Unlikely Rise of Vladimir Putin”, journalist Masha Gessen claimed that Anatoly Sobchak was killed by placing a poison (specially designed by KGB to cause death that appears natural), on a night light by his bed. One version why Putin had such an urgent need to free Krasikov from a German prison is that Putin feared that Krasikov could make a deal with the German authorities and reveal over time some information that would be extremely harmful to the Kremlin. Krasikov was so important for Putin that he gave 12 Russian political prisoners to get him back. Vadim Krasikov became the only man among the released Russian agents whom Putin not only shook hands with, but also publicly hugged. Putin also admitted that Krasikov was an FSB officer, which he previously denied. Kremlin bots now threaten that any Putin’s enemies who live abroad could be killed by Russian assassins and call Krasikov a “hero” and a “true patriot”. That’s the whole Kremlin propaganda campaign around the latest Russian-Western prisoner exchange deal.",yes
