Input,Result,Log_prob
"For many Americans, these four months have brought sorrow and pain that will never completely go away. Every day a retired firefighter returns to Ground Zero to feel closer to his two sons who died there. At a memorial in New York, a little boy left his football with a note for his lost father: ""Dear Daddy, please take this to heaven. I don't want to play football until I can play with you again some day.""",no,no+;+-0.000959700730163604
"In Africa, the disease clouds the future of entire nations and threatens to hold back the hopes of an entire continent. In the hardest-hit countries of sub-Sahara Africa as much as one-third of the adult population is infected with HIV, and 10 percent or more of the school teachers will die of AIDS within five years.",no,no+;+-0.0031844829209148884
"When credible intelligence warrants, appropriate law enforcement and local officials are alerted. These warnings are, unfortunately, a new reality in American life -- and we have recently seen an increase in the volume of general threats. Americans should continue to do what you're doing -- go about your lives, but pay attention to your surroundings. Add your eyes and ears to the protection of our homeland.",no,no+;+-0.0054024881683290005
"Twelve years ago, Iraq invaded Kuwait without provocation. And the regime's forces were poised to continue their march to seize other countries and their resources. Had Saddam Hussein been appeased instead of stopped, he would have endangered the peace and stability of the world. Yet this aggression was stopped -- by the might of coalition forces and the will of the United Nations.",yes,yes+;+-0.34604769945144653
"When America serves others in this way, we show the strength and generosity of our country. These deeds reflect the character of our people. The greatest strength we have is the heroic kindness and courage and self-sacrifice of the American people. You see this spirit often if you know where to look, and tonight we need only look above to the gallery.",no,no+;+-0.12914909422397614
"America pursues medical advances in the name of life, and we will achieve the great breakthroughs we all seek with reverence for the gift of life. I believe America's scientists have the ingenuity and skill to meet this challenge. And I look forward to working with Congress and the scientific community to achieve these great and noble goals in the years ahead.",no,no+;+-0.07928135991096497
"Their aim is to seize power in Iraq and use it as a safe haven to launch attacks against America and the world. Lacking the military strength to challenge us directly, the terrorists have chosen the weapon of fear. When they murder children at a school in Beslan or blow up commuters in London or behead a bound captive, the terrorists hope these horrors will break our will, allowing the violent to inherit the Earth. But they have miscalculated: We love our freedom, and we will fight to keep it.",no,no+;+-0.4797796308994293
"The roots of our democracy can be traced to England, and to its Parliament -- and so can the roots of this organization. In June of 1982, President Ronald Reagan spoke at Westminster Palace and declared, the turning point had arrived in history. He argued that Soviet communism had failed, precisely because it did not respect its own people -- their creativity, their genius and their rights.",no,no+;+-0.000726252153981477
"Tonight I also ask you to reform our immigration laws so they reflect our values and benefit our economy. I propose a new temporary worker program to match willing foreign workers with willing employers when no Americans can be found to fill the job. This reform will be good for our economy because employers will find needed workers in an honest and orderly system. A temporary worker program will help protect our homeland, allowing Border Patrol and law enforcement to focus on true threats to our national security.",yes,yes+;+-0.16401325166225433
"Defeatism may have its partisan uses, but it is not justified by the facts. For every scene of destruction in Iraq, there are more scenes of rebuilding and hope. For every life lost, there are countless more lives reclaimed. And for every terrorist working to stop freedom in Iraq, there are many more Iraqis and Americans working to defeat them. My fellow citizens: Not only can we win the war in Iraq, we are winning the war in Iraq.",no,no+;+-0.7203006744384766
"Taken together, these steps represent decisive action to ease the credit crunch that is now threatening our economy. With a smoother flow of credit, more businesses will be able to stock their shelves and meet their payrolls. More families will be able to get loans for cars and homes and college education. More state and local governments will be able to fund basic services.",no,no+;+-0.023738853633403778
"In the case of Iraq, the Security Council did act, in the early 1990s. Under Resolutions 678 and 687 -- both still in effect -- the United States and our allies are authorized to use force in ridding Iraq of weapons of mass destruction. This is not a question of authority, it is a question of will.",no,no+;+-0.03885182738304138
"My opponent recently announced that he is the conservative -- the candidate of ""conservative values,"" which must have come as a surprise to a lot of his supporters. There's some problems with this claim. If you say the heart and soul of America is found in Hollywood, I'm afraid you're not the candidate of conservative values. If you voted against the bipartisan Defense of Marriage Act, which President Clinton signed, you are not the candidate of conservative values. If you gave a speech, as my opponent did, calling the Reagan presidency eight years of ""moral darkness,"" then you may be a lot of things, but the candidate of conservative values is not one of them.",no,no+;+-0.0040818434208631516
"This changed world can be a time of great opportunity for all Americans to earn a better living, support your family, and have a rewarding career. And government must take your side. Many of our most fundamental systems -- the tax code, health coverage, pension plans, worker training -- were created for the world of yesterday, not tomorrow. We will transform these systems so that all citizens are equipped, prepared -- and thus truly free -- to make your own choices and pursue your own dreams.",no,no+;+-0.04171371832489967
"While the most visible military action is in Afghanistan, America is acting elsewhere. We now have troops in the Philippines, helping to train that country's armed forces to go after terrorist cells that have executed an American and still hold hostages. Our soldiers, working with the Bosnian government, seized terrorists who were plotting to bomb our embassy. Our Navy is patrolling the coast of Africa to block the shipment of weapons and the establishment of terrorist camps in Somalia.",no,no+;+-0.026784265413880348
"The United States respects the people of Afghanistan--after all, we are currently its largest source of humanitarian aid--but we condemn the Taliban regime. It is not only repressing its own people, it is threatening people everywhere by sponsoring and sheltering and supplying terrorists. By aiding and abetting murder, the Taliban regime is committing murder.",no,no+;+-0.018013441935181618
"On September the 11th, enemies of freedom committed an act of war against our country. Americans have known wars--but for the past 136 years, they have been wars on foreign soil, except for one Sunday in 1941. Americans have known the casualties of war--but not at the center of a great city on a peaceful morning. Americans have known surprise attacks--but never before on thousands of civilians. All of this was brought upon us in a single day--and night fell on a different world, a world where freedom itself is under attack.",yes,yes+;+-0.048664238303899765
"Our nation, working with allies and friends, has also confronted the enemy abroad, with measures that are determined, successful, and continuing. The Al Qaeda terror network that attacked our country still has leaders--but many of its top commanders have been removed. There are still governments that sponsor and harbor terrorists--but their number has declined. There are still regimes seeking weapons of mass destruction--but no longer without attention and without consequence. Our country is still the target of terrorists who want to kill many, and intimidate us all--and we will stay on the offensive against them, until the fight is won.",yes,yes+;+-0.02986132726073265
"To make our economy stronger and more productive, we must make health care more affordable, and give families greater access to good coverage, and more control over their health decisions. I ask Congress to move forward on a comprehensive health care agenda--with tax credits to help low-income workers buy insurance, a community health center in every poor county, improved information technology to prevent medical errors and needless costs, association health plans for small businesses and their employees, expanded health savings accounts, and medical liability reform that will reduce health care costs, and make sure patients have the doctors and care they need.",no,no+;+-0.3159761130809784
"America confronted imperial communism in many different ways -- diplomatic, economic, and military. Yet moral clarity was essential to our victory in the Cold War. When leaders like John F. Kennedy and Ronald Reagan refused to gloss over the brutality of tyrants, they gave hope to prisoners and dissidents and exiles, and rallied free nations to a great cause.",no,no+;+-0.04163973405957222
"And I will carry this: It is the police shield of a man named George Howard, who died at the World Trade Center trying to save others. It was given to me by his mom, Arlene, as a proud memorial to her son. This is my reminder of lives that ended, and a task that does not end.",no,no+;+-0.002497302368283272
"Good evening. Three days ago, in large numbers, Iraqis went to the polls to choose their own leaders -- a landmark day in the history of liberty. In the coming weeks, the ballots will be counted, a new government formed, and a people who suffered in tyranny for so long will become full members of the free world.",yes,yes+;+-0.17259670794010162
"The new law offers special help to one-third of older Americans will low incomes, such as a senior couple with low savings and an annual income of about $18,000 or less. These seniors will pay little or no premium for full drug coverage. Their deductible will be no higher than $50 per year, and their co-payment on each prescription will be as little as $1. Seniors in the greatest need will have the greatest help under the modernized Medicare system.",no,no+;+-0.023587265983223915
"With nuclear arms or a full arsenal of chemical and biological weapons, Saddam Hussein could resume his ambitions of conquest in the Middle East and create deadly havoc in that region. And this Congress and the American people must recognize another threat. Evidence from intelligence sources, secret communications, and statements by people now in custody reveal that Saddam Hussein aids and protects terrorists, including members of Al Qaeda. Secretly and without fingerprints, he could provide one of his hidden weapons to terrorists or help them develop their own.",no,no+;+-0.10040529072284698
"The terrorists do not merely object to American actions in Iraq and elsewhere, they object to our deepest values and our way of life. And if we were not fighting them in Iraq, in Afghanistan, in Southeast Asia, and in other places, the terrorists would not be peaceful citizens, they would be on the offense, and headed our way.",yes,yes+;+-0.20603226125240326
"In an ownership society, more people will own their health care plans, and have the confidence of owning a piece of their retirement. We'll always keep the promise of Social Security for our older workers. With the huge Baby Boom generation approaching retirement, many of our children and grandchildren understandably worry whether Social Security will be there when they need it. We must strengthen Social Security by allowing younger workers to save some of their taxes in a personal account -- a nest egg you can call your own, and government can never take away.",yes,yes+;+-0.0284886471927166
"While many of our citizens prosper, others doubt the promise, even the justice, of our own country. The ambitions of some Americans are limited by failing schools and hidden prejudice and the circumstances of their birth. And sometimes our differences run so deep, it seems we share a continent, but not a country.",no,no+;+-0.0034513415303081274
"Our nation will continue to be steadfast and patient and persistent in the pursuit of two great objectives. First, we will shut down terrorist camps, disrupt terrorist plans, and bring terrorists to justice. And second, we must prevent the terrorists and regimes who seek chemical, biological, or nuclear weapons from threatening the United States and the world.",yes,yes+;+-0.0779544860124588
"In this place, there's a custom for the funerals of jazz musicians. The funeral procession parades slowly through the streets, followed by a band playing a mournful dirge as it moves to the cemetery. Once the casket has been laid in place, the band breaks into a joyful ""second line"" -- symbolizing the triumph of the spirit over death. Tonight the Gulf Coast is still coming through the dirge -- yet we will live to see the second line.",no,no+;+-0.004079589620232582
"This new temporary worker program will bring more than economic benefits to America. Our homeland will be more secure when we can better account for those who enter our country, instead of the current situation in which millions of people are unknown, unknown to the law. Law enforcement will face fewer problems with undocumented workers, and will be better able to focus on the true threats to our nation from criminals and terrorists. And when temporary workers can travel legally and freely, there will be more efficient management of our borders and more effective enforcement against those who pose a danger to our country.",no,no+;+-0.01827402412891388
"The United States has a long and proud record of leading the world toward advances in science and medicine that improve human life. And the United States has a long and proud record of upholding the highest standards of ethics as we expand the limits of science and knowledge. Research on embryonic stem cells raises profound ethical questions, because extracting the stem cell destroys the embryo, and thus destroys its potential for life. Like a snowflake, each of these embryos is unique, with the unique genetic potential of an individual human being.",yes,yes+;+-1.5072224140167236
"In January of 2006, seniors can get prescription drug coverage under Medicare. For a monthly premium of about $35, most seniors who do not have that coverage today can expect to see their drug bills cut roughly in half. Under this reform, senior citizens will be able to keep their Medicare just as it is, or they can choose a Medicare plan that fits them best, just as you, as Members of Congress, can choose an insurance plan that meets your needs. And starting this year, millions of Americans will be able to save money tax-free for their medical expenses in a health savings account.",yes,yes+;+-0.2524661123752594
"I know that the families of our military are praying that all those who serve will return safely and soon. Millions of Americans are praying with you for the safety of your loved ones and for the protection of the innocent. For your sacrifice, you have the gratitude and respect of the American people. And you can know that our forces will be coming home as soon as their work is done.",yes,yes+;+-0.3911558985710144
"A hopeful society gives special attention to children who lack direction and love. Through the Helping America's Youth Initiative, we are encouraging caring adults to get involved in the life of a child. And this good work is being led by our First Lady, Laura Bush. This year we will add resources to encourage young people to stay in school, so more of America's youth can raise their sights and achieve their dreams.",no,no+;+-0.20780575275421143
The Egyptians and Jordanians and Saudis have helped in the wider war on terrorism. And they must help confront terrorism in the Middle East. All parties have a responsibility to stop funding or inciting terror. And all parties must say clearly that a murderer is not a martyr; he or she is just a murderer.,no,no+;+-0.7151774764060974
