Input,Result
"Is NATO afraid of Vladimir Putin? On this photo you see how 10 years ago, in the early hours of the morning on July 2014, Girkin’s military gang entered the peaceful, calm and wealthy Ukrainian city of Donetsk, turning life there into hell. Putin’s propaganda said they were “Donetsk miners and tractor drivers” who suddenly decided they needed independence. Answering the question why Girkin’s column was not destroyed, advisor to Ukraine’s minister of internal affairs Anton Gerashchenko explained in his 2016 interview that “someone at the very top was simply afraid to make the difficult decision to shoot at the column”. The officials were too afraid of numerous victims. As the result of this timidness, Ukraine now has a real war and tens of thousands of victims. NATO isn’t afraid of Vladimir Putin — it’s afraid of numerous victims.",yes
"How would the provision of Patriot air defence systems affect the situation in the city of Kharkiv? More than 10% of the population of Kharkiv (160,000 people) have lost their homes, 5 thousand buildings suffered damages or have been destroyed by the Russian artillery, missiles and bombs. If Kharkiv had effective air defence systems like Patriots, with sufficient munitions for them, this wouldn’t have happened. The White House administration has finally approved the use of American air defence systems to shoot down Russian planes over the Russian territory — that’s where they drop their guided bombs, which fall on Kharkiv and nearby towns. The new direction on the use of the U.S. weapons will allow Ukraine to employ American weapons to intercept Russian missiles that are targeting Kharkiv, and to attack concentrations of Russian troops just over the border in the vicinity of the city. This will allow for Ukraine to aim for high value targets such as command and control centers, artillery, logistics and air defence units that are located on Russian territory near Kharkiv and concentrating or rehearsing future operations against Ukraine. Russian propagandists must be devastated. No instruction manuals have been received from the AP (administration of the president) as yet, so they are keeping num about it.",no
"What will happen to economics in Russia? “Always low prices” alcohol store a year ago, in June 2023, and now, in June 2024: that’s the price for cheap beer made in Belgium and Germany. Price rise of over 35%. Russian people, most of whom buy the cheapest available goods (regardless of the quality), struggle to purchase food and drinks they used to be able to afford. After mass-market foreign clothing brands like “H&M” left Russia, local clothing chains raised their prices by 50–100% — for the same quality clothing as they were selling before. The difference in prices “before the war” and now is staggering for residents of Rostov, who try to save not only on entertainment and clothing, or occasional coffees in a cafe, but also on basic essentials like purchasing store-made baby food — there is simply no money in a family budget left for that in a family of 3, with father’s solo income of 50,000 rub. per month ($500). In Russia, a monthly salary of USD $2000-3000 is considered “high” — only 3% of the population earn such money. People who earn $2,000 per month are viewed in Russia as “rich”. Russia is a poor country and the war will ruin it completely.",yes
"Does Russia have any Red Dawn type movies showing an American invasion? Russians are too scared to make movies about an American invasion. In Russian movies, Americans aren’t shown as a fierce and mighty enemy — they are shown as goofy halfwits. This week, Russian TNT channel presented an upcoming series about the adventures of Joe Biden in Russia. It will be a comedy about POTUS flying to Russia incognito to understand why sanctions are not working. According to the script, the American president loses his documents, lives in a minuscule apartment, erected in a hurry during Khrushchev times, works as an English teacher and befriends a “true Russian patriot.” The series, titled “Goodbye,” will be a “kind, true-to-life, funny story,” promises actor Dmitry Dyuzhev, who is playing Joe Biden. Dyuzhev previously played a pregnant man in one of his films. In the real world of politics, ""Sleepy Joe"" outplayed Putin 50:0. And now, in retaliation, the Russian TV is going to mock the US president. The Russian industry of movie-making is dead. Anyone who refuses to see the reality through Putin's eyes has simply left the country. The rest resigned to filming propaganda on orders of ideologists from the presidential administration. But even in propaganda, the idea of America invading Russia (or anyone invading Russia, for that matter) is too unthinkable for Putin’s underlings. There are simply no movies like that. The only movies about a foreign invasion are from WW2 times or some other old history tales.",yes
"What will happen if Russia runs out of manpower for the military? August 2024: Russian soldiers surrender en masse in the Kursk region of Russia, overpowered and outnumbered by the Ukrainian forces in their own territory. How the tables have turned: The photos of the annihilated Russian column that was bringing soldiers to the front in the Kursk region are all over the Russian social networks. The Russian correspondents first showed the column moving through the Kursk region, and then other Russians filmed it burning and the aftermath of the attack. The FSB arrested a man who filmed the burning trucks and made him confess that he was doing it on orders of the Ukrainians. Someone has to be blamed for the major security screw up! And another Russian propagandist from the military channel ‘Zvezda’ (‘Star’) was proudly filming another Russian column going through the Kursk region yesterday — already after the previous column got burned. Learning from their mistakes is for the wimps. Russian propaganda professionals are trained in bragging and boasting, not tactical stealth. There are basically no professionally trained junior army officers with combat experience left in Russia — almost all of them are dead by now. That’s why the screwups like the one with the burned column become possible — no one learned the instructions clearly stating that when resting, soldiers need to spread and hide, as opposed to stopping on the side of the road with no gaps between the vehicles, with the personnel remaining in the trucks. It looks more likely with every day that Russia will have to do another mass mobilization, to compensate for the terrible losses at the front. In order to achieve the ""goals of the SMO"" as Putin formulated them, the Russian army would need to call up another 3-4 million men — at least 1.5 million of them would end up killed or maimed, until it becomes obvious to everyone in Russia that achieving Putin’s stated goals is simply impossible. Despite Kremlin’s constantly raising payouts for signing up to go to the war, the number of Russian “volunteers” has dropped sharply — there are (almost) no fools left to die for money — even rather large sums of money (by the Russian standards). By 2024, Ukraine has more soldiers to fight off Russia than Russia has “contractors” who agreed to go to another country and become murderers, in hopes to pay off their debts. The Russian propagandists promote the idea that the Ukrainian army will run out of people faster because the Ukrainian population is smaller. It is true, the Ukrainian population is smaller — but that’s not all the truth: the attacking army needs to have a multifold numerical advantage to succeed. But the Russian army has no such advantage. On top of that, Russia is undoubtedly behind the Ukrainian army in technological terms. Even if Russia could manage to mobilize and equip 3–4 million soldiers, they still wouldn’t be able to close the technological gap. When Russia attacked Ukraine in February 2022, they had an enormous advantage in terms of manpower and weapons — but the balance has been slowly shifting to the other side. By now, Ukraine has the advantage of the modern technology and weapons, as well as the backing of the economies producing over 50% of the global GDP. Putin is not only running out of manpower, but also out of stockpiles of the Soviet weapons and money to finance the military production and the army. The Ukrainian incursion in the Kursk region further destabilizes the whole system. Putin has no time to mobilize the manpower. It’s not impossible that the whole Russian front in Ukraine might collapse. Follow me for more updates!",yes
"Will Putin attack NATO? Putin said on June 5, 2024, at St. Petersburg’s economic forum: Thank you, Mr. Putin. Now everyone understands.",no
"What do you make of the fact that Paul Whelan was left out of the prisoner exchange between the US and Russia? In December 2022, Paul Whelan wasn’t part of a prisoner exchange between Russia and the U.S. — instead, American basketball player Brittney Greener was traded for Russian arms dealer Victor Bout. Since then, there weren’t exchanges that were made public. Exchanges are never straightforward and who gets back is determined not only by what one side desires but also whom the opposition is prepared to exchange. Victor Bout, Brittney Griner. Putin managed to get his “merchant of death” Bout back, releasing an American hostage Griner who was arrested in Russia for carrying vaporizer cartridges containing less than a gram of hash oil. Russia accused her in possession of illegal drugs and sentenced for 9 years of prison. While possessing marijuana is illegal in Russia, the whole arrest and sentencing of Griner were handled with such media frenzy and promotion by Russian propagandists and the Kremlin bots online that it looked like a special operation to pressure the American side to release a well-connected arms dealer — by the end of 2022, Putin desperately needed someone experienced in that particular sector. Why Paul Whelan wasn’t exchanged at the time was asked by many, and the answer is that maybe Russia wanted someone else in exchange to Whelan whom the FSB insists was a real spy. Security professional Paul Whelan was arrested in Moscow in 2018 and accused of being a spy. Whelan said he had been in Russia for a friend's wedding. Before 2008, Whelan served as a Marine, and after his discharge was working as a security chief for a commercial organization. He visited Russia several times before and the wedding he was planning to attend was of a fellow marine. Whelan says he was given the hard drive by a Russian friend in what he now he now believes was a “sting operation” — Russia accused the drive contained some classified intel and sentenced him to 16 years imprisonment. This week, after several Russian political prisoners disappeared from their prisons in Russia, it was discovered that Paul Whelan is also missing. So are Putin’s critics journalist Maria Ponomarenko and an opposition politician Vladimir Kara-Murza. More confirmations are coming from Russia that a big prisoner exchange deal is in the works. Maybe this time Paul Whelan will also be released.",yes
"How is the Russian economy doing? What kind of data has its economy produced in recent months, positive or negative? From January 2020 to May 2024, inflation in Russia is double the G7 average. Russia’s central bank had to raise its base interest rate from 7.5% in June 2023 to 16% in June 2024 — and in July 2024, it was increased by 200 basis points at once — to 18% per annum. So, Russia’s base interest rate is 3% higher than in Afghanistan. There are no plans to reduce the key rate this year, stated Elvira Nabiullina, head of the Central Bank of the Russian Federation. She added that the rate will remain high for a long time, and an additional increase is possible. Thank the glorious leader Vladimir Putin for that. Meanwhile, a Russian economist who was explaining how badly Russia was doing just “accidentally fell out of a window”. Another unfortunate accident amidst the epidemic of high-rise falls of state execs in the Russian capital. Russia is doing just fine — even great, insisted Vladimir Putin in his recent speech in the Kremlin, promising that the economy of the occupied Zaporizhzhia, Kherson, Donetsk and Luhansk regions will be by 2030 on the level of “the rest of Russia”. (Video in the comments below.) If anyone saw the devastation of “the rest of Russia”, this certainly sounds like a threat rather than an optimistic forecast. And it’s highly doubtful that Russia is capable to quickly bring back to life the destroyed Ukrainian cities. Mariupol, Bakhmut, Avdeevka, Marinka — these Ukrainian cities had their own thriving identities before the war — Russia put on them the mangled masks of the “Russian world.” The ruins are visible on Google Planet, from satellites. In the past weeks, Russia got hit by rolling blackouts — in Krasnodar region, people went to the streets to protest, after not having power and water for several days — the water supply was switched off because there was no power. There are rumors of an accident at a nuclear power station near Rostov, and as a result, insufficient power produced to supply the nearby regions. The “new regions” — how Putin calls the occupied Ukrainian territories — are getting the power from Russia; before the occupation, they were getting the electricity from Ukraine. The Russian grid hadn’t been maintained and repaired properly due to the lack of funds (the money is spent on the war in Ukraine) and western sanctions (parts aren’t easily accessible — and Russia doesn’t make them). Russia is stuck in Ukraine and the money is disappearing in the black hole of the war, with nothing but ruined cities to show for that. And these ruined cities will require an enormous investment to bring them back to life — and who’s going to invest in a territory that’s occupied and can change its citizenship or be bombed to ruins tomorrow? “Russians will have many more troubles because the country is worn out. It was necessary to close Russia down for the major renovation for about 10 years. Then it would’ve been possible to live through the 21st century normally. Instead of that, the country was sent to war,” says Igor Lipsits, a prominent Russian economist and founder of the Higher School of Economics in Moscow, who was forced to emigrate because of his critical stance. The Russian economy is in a state of flux. The western sanctions suffocate it slowly but surely — and this is why Putin keeps demanding the lifting of western sanctions as a condition of a “peace agreement”. Because Russia is screwed unless the sanctions are lifted — no matter what is the situation on the ground in Ukraine. There is really no good scenario for the Russian economy — its down spiral is irreversible at this point. It’s like a worn off car — it requires a complete rebuild to operate properly again.",yes
"What is happening in the Kursk region of Russia? In the Kursk region of Russia, which Ukrainian army invaded on August 6, things are moving fast. Ukraine already controls 100 settlements and the territory of 1,300 km², reported commander-in-chief Syrskyi. Time to let Ukraine take Russia! Russian military bloggers say that Ukrainian forces broke through defenses in Belgorod region — that’s the second Russian region getting invaded. Meanwhile, Russian volunteers who arrived to Kursk region with “humanitarian aid” for the Russian army (food, water, socks and jocks for soldiers, because the Russian army doesn’t provide for its troops — officers steal all the money) — so, these “volunteers” complain about traffic police cameras, which continue to send them tickets for speeding — while they are driving over the speed limits to avoid drones or shelling. The traffic police office responded that “war is war, but a violation is a violation” and fines that have already been issued in the system can only be challenged in court. You know, in Russia the law is the law! (Unless, of course, you are above the law, in which case you can break any laws you want.) I suppose, the Ukrainian tanks must have scored hundreds of fines for illegal parking. The new map of Eastern Europe has just been leaked on Telegram. On 24 February 2022, when Russia invaded Ukraine, the world was discussing how long Ukraine would be able to withstand against Russia — 2 days, 3 days, a week? Not many gave Ukraine more than 2 weeks. On August 6, 2024, when Ukraine invaded the Kursk region of Russia, Vladimir Putin ordered “to squeeze the enemy out”. On day 3, the chief of Russian general staff Gerasimov reported to Putin that the enemy had been repelled and destroyed. That was more than 3 weeks ago. Ukrainians are still in the Kursk region and keep increasing their stronghold. And now , Russians are told by their TV channels that ""The incursion into Kursk region by the Ukrainians is beneficial to Russia, because it closes the conversations about negotiations with Ukraine.” Putin hopes that “the situation” in the Kursk region will somehow sort itself out, so he tries not to make a big deal about “mighty Russia” getting invaded by a “little, insignificant Ukraine.” Being invaded by a foreign power is Russia’s “new normal”.",yes
"How does the arrest of Laurent Vinatier, a French researcher who was charged with violating the ""foreign agents"" law in Russia, affect international relations? Laurent Vinatier, a French researcher who was charged with violating the ""foreign agents"" law, was arrested in Russia and sent to pre-trial detention on June 7, 2024. Yesterday, he appeared in a Moscow court for a hearing, asking to be allowed to stay under house arrest, but his request was denied by the judge. Vinatier seemed a shadow of his confident self from a month ago. He appeared at the hearing via a video link. The French consul general in Moscow was present at the hearing. Vinatier was arrested immediately after the French president Macron said that France would send troops to Ukraine, in the worst Russia’s traditions of “hostage diplomacy”. About the same time 26-year-old native of Donbas with dual Russian and Ukrainian citizenship was detained in France on suspicion of preparing a terrorist attack. At the very first hearing on June 7 that sent him to jail on accusations of failing to register as a “foreign agent”, Vinatier was demonstratively thrown in a cage in the courtroom. At the hearing on July 4, the prosecution alleged that Vinatier was guilty of collecting military information. The prosecution didn’t disclose what information Vinatier shouldn’t be privy to, but stated that it ""could be used against state security."" The accusation of not registering as a “foreign agent” — which Vinatier said he wasn’t aware he was required to do — is usually reserved for Russian citizens who are financed by foreign entities and involved in political activities. But recent changes to the law require anyone who “collects information on military issues” to register as a “foreign agent”. The 48-year-old Frenchman is an adviser with the Geneva-based ‘Centre for Humanitarian Dialogue’, a Swiss conflict mediation organization, and a long-time researcher of Russia and other post-Soviet countries. Russia has been using its ""foreign agent"" laws to jail domestic critics for a long time, and now the regime is doing it to foreign citizens as well. On June 21, 2024, Vinatier was included in the Russian register of “foreign agents”. Vinatier attended the court hearing on July 4 via a video link from the detention centre — he wasn’t brought to the court. The judge extended his detention until August 5. Any foreign citizen in Russia is a potential hostage and an instrument of exerting pressure on democratically elected governments, especially during elections. Hostages are also used as leverage in negotiations. Kremlin bots are pushing such topics in social media to stir emotions and cause division. In case of Vinatier, Kremlin bots are already driving the story to notoriety. Under the current accusation, Vinatier can be imprisoned for up to 5 years.",yes
