Obfuscation,Log_prob
"Our only conclusion is that we're getting there, America, because the American people have put their faith in progress. Change isn't always easy, but it's essential for growth. Let's embrace each opportunity to collaborate, innovate, and uplift every community. Together, we can navigate challenges and inspire one another. As we move forward, let's remember that unity and understanding are the foundations of a thriving society. Hope and resilience will guide our path ahead.","their+;+-0.4069160223007202|;| faith+;+-1.2422268390655518|;| in+;+-0.0003912311512976885|;| progress+;+-1.1342145204544067|;|.+;+-0.4090328514575958|;| Change+;+-1.6626070737838745|;| isn't+;+-3.865947961807251|;| always+;+-0.8699670433998108|;| easy+;+-0.08296898752450943|;|,+;+-0.0945214256644249|;| but+;+-0.12564396858215332|;| it's+;+-1.3056221008300781|;| essential+;+-0.4933968484401703|;| for+;+-0.5399617552757263|;| growth+;+-0.0978851392865181|;|.+;+-0.012772731482982635|;| Let's+;+-2.83882999420166|;| embrace+;+-0.6814860701560974|;| each+;+-4.765989780426025|;| opportunity+;+-1.8240958452224731|;| to+;+-1.3901454210281372|;| collaborate+;+-3.5108518600463867|;|,+;+-0.7097737193107605|;| innovate+;+-0.7063011527061462|;|,+;+-0.00010485442908247933|;| and+;+-1.0280383548888494e-06|;| uplift+;+-0.6208897829055786|;| every+;+-4.126915454864502|;| community+;+-1.0727263689041138|;|.+;+-0.138971745967865|;| Together+;+-0.3641026020050049|;|,+;+-0.003701973706483841|;| we+;+-0.03758566826581955|;| can+;+-0.05266357213258743|;| navigate+;+-3.0878336429595947|;| challenges+;+-0.4874379336833954|;| and+;+-0.5382654070854187|;| inspire+;+-3.5261807441711426|;| one+;+-1.4943748712539673|;| another+;+-4.008129963040119e-06|;|.+;+-0.520697832107544|;| As+;+-3.550442695617676|;| we+;+-0.015486255288124084|;| move+;+-0.6049798727035522|;| forward+;+-0.003484604647383094|;|,+;+-0.0016700613778084517|;| let's+;+-1.8904088735580444|;| remember+;+-1.3591660261154175|;| that+;+-0.6365444660186768|;| unity+;+-0.45079776644706726|;| and+;+-0.6825825572013855|;| understanding+;+-1.112077236175537|;| are+;+-0.6374694108963013|;| the+;+-1.7477338314056396|;| foundations+;+-2.3851428031921387|;| of+;+-0.3321886360645294|;| a+;+-0.37031203508377075|;| thriving+;+-2.0312817096710205|;| society+;+-0.08738238364458084|;|.+;+-0.6098918914794922|;| Hope+;+-2.174661874771118|;| and+;+-1.402431607246399|;| resilience+;+-1.0567238330841064|;| will+;+-0.14079637825489044|;| guide+;+-0.29711565375328064|;| our+;+-1.2235956192016602|;| path+;+-0.9960353374481201|;| ahead+;+-0.1315305531024933|;|.+;+-0.0022611175663769245"
"But as the President suggested, when we unveil the guidelines that the team has been working on, it’s vital we ensure clarity and transparency. Everybody needs to understand the rationale behind each decision, fostering trust among our citizens. This collaborative approach will empower communities to thrive. By prioritizing diverse perspectives and innovative solutions, we can pave the way for a brighter future, one where every individual feels valued and included in the process.","working+;+-0.14081460237503052|;| on+;+-0.0661856085062027|;|,+;+-0.024487117305397987|;| it+;+-0.37429365515708923|;|’s+;+-1.1977124214172363|;| vital+;+-3.9138309955596924|;| we+;+-1.8332626819610596|;| ensure+;+-2.162947654724121|;| clarity+;+-0.603959858417511|;| and+;+-0.15460407733917236|;| transparency+;+-1.842370867729187|;|.+;+-0.3166272044181824|;| Everybody+;+-9999.0|;| needs+;+-2.707956075668335|;| to+;+-0.00958785880357027|;| understand+;+-0.34594276547431946|;| the+;+-0.3008871376514435|;| rationale+;+-2.296860694885254|;| behind+;+-0.023028945550322533|;| each+;+-1.4444458484649658|;| decision+;+-0.42620453238487244|;|,+;+-1.9294121265411377|;| fostering+;+-0.7464065551757812|;| trust+;+-0.3355657458305359|;| among+;+-1.3234069347381592|;| our+;+-2.382049322128296|;| citizens+;+-0.24074862897396088|;|.+;+-0.00553231593221426|;| This+;+-2.28889536857605|;| collaborative+;+-2.9382829666137695|;| approach+;+-0.7423100471496582|;| will+;+-0.6503371596336365|;| empower+;+-1.1579126119613647|;| communities+;+-0.4007208049297333|;| to+;+-0.834384024143219|;| thrive+;+-2.465402364730835|;|.+;+-0.9858332872390747|;| By+;+-2.361055374145508|;| priorit+;+-1.802117943763733|;|izing+;+-1.3856492842023727e-06|;| diverse+;+-9999.0|;| perspectives+;+-0.44278424978256226|;| and+;+-1.408686637878418|;| innovative+;+-0.936681866645813|;| solutions+;+-0.17387305200099945|;|,+;+-4.036524842376821e-05|;| we+;+-0.01244937814772129|;| can+;+-0.17342151701450348|;| pave+;+-1.6518319845199585|;| the+;+-0.25856509804725647|;| way+;+-0.015538965351879597|;| for+;+-0.08717186748981476|;| a+;+-0.3114251494407654|;| brighter+;+-0.33508914709091187|;| future+;+-0.3548695743083954|;|,+;+-0.50815749168396|;| one+;+-1.0519661903381348|;| where+;+-0.6466655731201172|;| every+;+-1.149779200553894|;| individual+;+-0.8131638765335083|;| feels+;+-0.36029502749443054|;| valued+;+-0.08178793638944626|;| and+;+-0.005330758634954691|;| included+;+-1.8120911121368408|;| in+;+-0.11445751786231995|;| the+;+-0.4145772457122803|;| process+;+-0.8692370057106018|;|.+;+-0.018959123641252518"
"So--no, we were always going to get it. We never had a problem with it. Success isn't merely handed out; it's earned through perseverance and dedication. In life, we may face obstacles, but with resolve and determination, we can overcome anything. Every challenge serves as an opportunity for growth. Embrace the journey, learn from experiences, and remain steadfast in your pursuit. The true essence of achievement lies in the lessons learned along the way.","Success+;+-3.873371124267578|;| isn't+;+-2.870678663253784|;| merely+;+-1.165237545967102|;| handed+;+-2.27364444732666|;| out+;+-1.192373275756836|;|;+;+-0.01972428523004055|;| it's+;+-0.765526294708252|;| earned+;+-0.6847067475318909|;| through+;+-0.04716465249657631|;| perseverance+;+-1.9504354000091553|;| and+;+-0.10565847158432007|;| dedication+;+-2.1579580307006836|;|.+;+-0.002310242271050811|;| In+;+-2.6704888343811035|;| life+;+-2.108160972595215|;|,+;+-0.05502784624695778|;| we+;+-1.8060684204101562|;| may+;+-6.189274311065674|;| face+;+-1.0535945892333984|;| obstacles+;+-0.9643057584762573|;|,+;+-0.7108648419380188|;| but+;+-0.28388404846191406|;| with+;+-3.0262365341186523|;| resolve+;+-2.904043674468994|;| and+;+-1.2238712310791016|;| determination+;+-2.205047607421875|;|,+;+-4.668304245569743e-05|;| we+;+-0.10156680643558502|;| can+;+-0.15503202378749847|;| overcome+;+-0.5367298722267151|;| anything+;+-1.0274758338928223|;|.+;+-0.117561474442482|;| Every+;+-2.3351693153381348|;| challenge+;+-0.342023104429245|;| serves+;+-2.8926143646240234|;| as+;+-0.011030614376068115|;| an+;+-1.1372522115707397|;| opportunity+;+-0.0009841008577495813|;| for+;+-0.2886258065700531|;| growth+;+-0.002185118617489934|;|.+;+-0.7788923382759094|;| Em+;+-0.6246466636657715|;|brace+;+-0.0792577937245369|;| the+;+-0.27146390080451965|;| journey+;+-0.04179913178086281|;|,+;+-0.35177645087242126|;| learn+;+-0.39129430055618286|;| from+;+-0.013402910903096199|;| experiences+;+-1.523012638092041|;|,+;+-0.00014001218369230628|;| and+;+-0.00011975488450843841|;| remain+;+-2.6590523719787598|;| steadfast+;+-0.5123900175094604|;| in+;+-0.3929700553417206|;| your+;+-0.9387220144271851|;| pursuit+;+-0.7836142778396606|;|.+;+-1.2250969409942627|;| The+;+-1.058085560798645|;| true+;+-5.3940606117248535|;| essence+;+-1.5665476322174072|;| of+;+-0.062142569571733475|;| achievement+;+-0.23777692019939423|;| lies+;+-0.01169535145163536|;| in+;+-0.3079051077365875|;| the+;+-0.7484591603279114|;| lessons+;+-2.8997864723205566|;| learned+;+-0.1827675849199295|;| along+;+-0.0036688409745693207|;| the+;+-2.129266067640856e-05|;| way+;+-0.0015375965740531683|;|.+;+-0.002930276095867157"
"All I'm saying is this: How do you close down the greatest economy in the world? It's a monumental task, and frankly, it's baffling. Many experts argue that to succeed, one must balance health concerns with economic realities. Without careful planning and a sensible approach, the repercussions could be dire. We must prioritize dialogue and collaboration, ensuring all voices are heard while navigating the complex road ahead. Compromise is essential for progress.","world+;+-0.00547126354649663|;|?+;+-0.31882041692733765|;| It's+;+-1.012557029724121|;| a+;+-0.5028277635574341|;| monumental+;+-2.712113618850708|;| task+;+-0.3185043931007385|;|,+;+-0.3424922525882721|;| and+;+-1.6872897148132324|;| frankly+;+-2.8048269748687744|;|,+;+-0.000558512459974736|;| it's+;+-1.752704381942749|;| baff+;+-2.4622678756713867|;|ling+;+-1.7120533811976202e-05|;|.+;+-0.24093066155910492|;| Many+;+-4.298434734344482|;| experts+;+-3.2576544284820557|;| argue+;+-1.3459219932556152|;| that+;+-0.2583920359611511|;| to+;+-9999.0|;| succeed+;+-3.5741658210754395|;|,+;+-0.028826095163822174|;| one+;+-2.372309684753418|;| must+;+-0.05621081218123436|;| balance+;+-3.4551234245300293|;| health+;+-1.253663182258606|;| concerns+;+-1.0655241012573242|;| with+;+-0.024343447759747505|;| economic+;+-0.09074584394693375|;| realities+;+-1.4218876361846924|;|.+;+-0.0184568390250206|;| Without+;+-9999.0|;| careful+;+-1.4022592306137085|;| planning+;+-0.7759638428688049|;| and+;+-0.6932220458984375|;| a+;+-2.8678946495056152|;| sensible+;+-9999.0|;| approach+;+-0.024222321808338165|;|,+;+-0.002462337026372552|;| the+;+-0.9317823052406311|;| repercussions+;+-0.791189968585968|;| could+;+-0.03695882111787796|;| be+;+-0.08302395045757294|;| dire+;+-0.659385621547699|;|.+;+-0.08634074777364731|;| We+;+-1.099621295928955|;| must+;+-0.8760873079299927|;| prioritize+;+-1.567562222480774|;| dialogue+;+-9999.0|;| and+;+-0.6614595651626587|;| collaboration+;+-0.4465213418006897|;|,+;+-0.49107831716537476|;| ensuring+;+-0.6500405669212341|;| all+;+-3.194058418273926|;| voices+;+-0.03564297780394554|;| are+;+-0.03212976083159447|;| heard+;+-0.008296353742480278|;| while+;+-1.4316439628601074|;| navigating+;+-1.0906879901885986|;| the+;+-3.506197214126587|;| complex+;+-2.265194892883301|;| road+;+-4.207342624664307|;| ahead+;+-0.008700254373252392|;|.+;+-0.6137577295303345|;| Comp+;+-9999.0|;|romise+;+-0.0014632153324782848|;| is+;+-0.3261854946613312|;| essential+;+-0.4006008505821228|;| for+;+-0.15105904638767242|;| progress+;+-0.14665208756923676|;|.+;+-0.014093924313783646"
"When we think of more than 619,000 Americans having tested positive, more than 45,000 having lost their lives, it's a sobering reminder of our shared vulnerability. This pandemic has reshaped our lives, forcing us to adapt in unforeseen ways. Communities have come together, demonstrating resilience and compassion. As we navigate these uncertain waters, it remains crucial to prioritize the health and well-being of all citizens, ensuring that we emerge stronger together, united in purpose.","lost+;+-0.33838656544685364|;| their+;+-7.896309739408025e-07|;| lives+;+-0.0003005464968737215|;|,+;+-0.033305734395980835|;| it's+;+-1.6977804899215698|;| a+;+-0.8615841269493103|;| sob+;+-2.2453737258911133|;|ering+;+0.0|;| reminder+;+-0.33122193813323975|;| of+;+-0.005695553962141275|;| our+;+-1.9222118854522705|;| shared+;+-0.5398544669151306|;| vulnerability+;+-0.2844863533973694|;|.+;+-0.005494615063071251|;| This+;+-2.5988378524780273|;| pandemic+;+-1.3673893213272095|;| has+;+-0.26465317606925964|;| resh+;+-0.8838636875152588|;|aped+;+-0.0002967320033349097|;| our+;+-0.14746132493019104|;| lives+;+-1.2189958095550537|;|,+;+-0.9356299042701721|;| forcing+;+-2.1415135860443115|;| us+;+-0.04390648007392883|;| to+;+-0.008051950484514236|;| adapt+;+-0.8276385068893433|;| in+;+-1.6087291240692139|;| unforeseen+;+-3.153294563293457|;| ways+;+-1.6405310816480778e-05|;|.+;+-0.0030531694646924734|;| Communities+;+-1.6169031858444214|;| have+;+-0.5266529321670532|;| come+;+-1.1178439855575562|;| together+;+-2.6895233531831764e-05|;|,+;+-0.16802449524402618|;| demonstrating+;+-1.5399060249328613|;| resilience+;+-0.014222975820302963|;| and+;+-0.2025388926267624|;| compassion+;+-0.41103076934814453|;|.+;+-0.2666495144367218|;| As+;+-0.8178461194038391|;| we+;+-0.0026282155886292458|;| navigate+;+-0.4510493278503418|;| these+;+-0.7766915559768677|;| uncertain+;+-3.6686811447143555|;| waters+;+-1.6007699966430664|;|,+;+-0.000422570708906278|;| it+;+-1.6787960529327393|;| remains+;+-4.811925888061523|;| crucial+;+-0.4735807180404663|;| to+;+-0.05711565911769867|;| prioritize+;+-0.8326847553253174|;| the+;+-3.8557980060577393|;| health+;+-0.787851095199585|;| and+;+-0.25214505195617676|;| well+;+-0.5520235300064087|;|-being+;+0.0|;| of+;+-1.5048530030981055e-06|;| all+;+-1.5252611637115479|;| citizens+;+-1.6354775428771973|;|,+;+-0.195684552192688|;| ensuring+;+-0.921414852142334|;| that+;+-0.6128333210945129|;| we+;+-1.3341169357299805|;| emerge+;+-0.1017802283167839|;| stronger+;+-0.05662892386317253|;| together+;+-4.666007041931152|;|,+;+-0.7241743206977844|;| united+;+-0.16481779515743256|;| in+;+-0.02519112080335617|;| purpose+;+-0.15574660897254944|;|.+;+-0.16037878394126892"
"The next second time that I went with Dr. Birx in--to the President and said, we must consider alternative approaches to the challenges we face. It's essential to evaluate different perspectives, collaborate with experts, and prioritize the health and well-being of our citizens. By fostering open dialogue and innovative solutions, we can work towards a brighter future, ensuring that every individual has the resources and support needed to thrive in our evolving society.","we+;+-0.5200561285018921|;| must+;+-1.5206282138824463|;| consider+;+-2.3544864654541016|;| alternative+;+-1.2157403230667114|;| approaches+;+-0.7044597268104553|;| to+;+-0.9536296129226685|;| the+;+-2.334660530090332|;| challenges+;+-1.8708521127700806|;| we+;+-0.4546296298503876|;| face+;+-0.015151792205870152|;|.+;+-0.029185768216848373|;| It's+;+-1.501441240310669|;| essential+;+-0.5392902493476868|;| to+;+-0.06331927329301834|;| evaluate+;+-3.1153616905212402|;| different+;+-2.839458465576172|;| perspectives+;+-0.19617876410484314|;|,+;+-1.663147211074829|;| collaborate+;+-9999.0|;| with+;+-0.5897712707519531|;| experts+;+-0.36026427149772644|;|,+;+-0.23889502882957458|;| and+;+-2.081584716506768e-05|;| prioritize+;+-2.413997173309326|;| the+;+-1.2238891124725342|;| health+;+-2.639301300048828|;| and+;+-0.4289558529853821|;| well+;+-0.9699076414108276|;|-being+;+-1.9361264946837764e-07|;| of+;+-3.128163257315464e-07|;| our+;+-0.15574048459529877|;| citizens+;+-0.42805227637290955|;|.+;+-0.06014566496014595|;| By+;+-1.8978023529052734|;| fostering+;+-0.22567814588546753|;| open+;+-0.40814900398254395|;| dialogue+;+-0.11611860990524292|;| and+;+-0.1612200289964676|;| innovative+;+-1.2991663217544556|;| solutions+;+-0.403260737657547|;|,+;+-2.7014437364414334e-05|;| we+;+-0.0011435531778261065|;| can+;+-0.010107948444783688|;| work+;+-4.691754341125488|;| towards+;+-0.3776424527168274|;| a+;+-0.0681442990899086|;| brighter+;+-0.5508338212966919|;| future+;+-0.05997593328356743|;|,+;+-2.5472776889801025|;| ensuring+;+-0.8232743144035339|;| that+;+-0.16324138641357422|;| every+;+-0.6863692998886108|;| individual+;+-0.8155643343925476|;| has+;+-0.4001479148864746|;| the+;+-1.509251356124878|;| resources+;+-1.5494425296783447|;| and+;+-0.5446567535400391|;| support+;+-0.07107525318861008|;| needed+;+-1.3389263153076172|;| to+;+-0.008432189002633095|;| thrive+;+-0.002846602350473404|;| in+;+-0.1019199788570404|;| our+;+-1.1780593395233154|;| evolving+;+-2.3007619380950928|;| society+;+-0.2071751058101654|;|.+;+-0.0014454723568633199"
"And after that, I said, ""Oh, make sure that's in the bill."" It was amazing to see how discussions unfolded. Ideas exchanged, each voice adding a unique perspective, weaving a rich tapestry of thought. The atmosphere was invigorating, filled with anticipation. Everyone embraced the challenge ahead, determined to bring about positive change. Collaboration was the key, as each participant contributed their expertise, ensuring every detail was meticulously considered before the next steps were taken.","to+;+-0.5727335214614868|;| see+;+-1.3214962482452393|;| how+;+-0.19246619939804077|;| discussions+;+-5.083128929138184|;| unfolded+;+-1.046198844909668|;|.+;+-0.43560945987701416|;| Ideas+;+-1.6508171558380127|;| exchanged+;+-3.384415864944458|;|,+;+-1.5564179420471191|;| each+;+-3.3985376358032227|;| voice+;+-1.8200106620788574|;| adding+;+-0.8465251922607422|;| a+;+-0.7671739459037781|;| unique+;+-0.6581889390945435|;| perspective+;+-0.27983298897743225|;|,+;+-1.6141070127487183|;| weaving+;+-2.2516798973083496|;| a+;+-0.4204241633415222|;| rich+;+-1.7030680179595947|;| tapestry+;+-0.0020161904394626617|;| of+;+-0.0019353042589500546|;| thought+;+-1.308160424232483|;|.+;+-0.0489797405898571|;| The+;+-1.802638292312622|;| atmosphere+;+-0.8575292229652405|;| was+;+-2.0351333618164062|;| invigor+;+-5.718316078186035|;|ating+;+-0.002805821830406785|;|,+;+-0.060534071177244186|;| filled+;+-1.1986693143844604|;| with+;+-1.1994775377388578e-05|;| anticipation+;+-1.1891855001449585|;|.+;+-1.2849982976913452|;| Everyone+;+-1.4577940702438354|;| embraced+;+-9999.0|;| the+;+-0.17101213335990906|;| challenge+;+-1.089400291442871|;| ahead+;+-0.7891829013824463|;|,+;+-0.07194146513938904|;| determined+;+-2.338900566101074|;| to+;+-0.0032637494150549173|;| bring+;+-4.312780380249023|;| about+;+-0.3299538791179657|;| positive+;+-2.1597511768341064|;| change+;+-0.030819840729236603|;|.+;+-0.019270213320851326|;| Collaboration+;+-1.134278416633606|;| was+;+-1.906662106513977|;| the+;+-1.7449123859405518|;| key+;+-0.30882054567337036|;|,+;+-0.15695223212242126|;| as+;+-1.5431692600250244|;| each+;+-3.056429862976074|;| participant+;+-0.8044082522392273|;| contributed+;+-0.7651568055152893|;| their+;+-0.5036899447441101|;| expertise+;+-1.1211798191070557|;|,+;+-0.18246528506278992|;| ensuring+;+-2.4777579307556152|;| every+;+-3.427663803100586|;| detail+;+-0.14213867485523224|;| was+;+-0.18397033214569092|;| meticulously+;+-0.4974517524242401|;| considered+;+-0.5624103546142578|;| before+;+-3.1551170349121094|;| the+;+-2.228090524673462|;| next+;+-4.805356502532959|;| steps+;+-0.2077009677886963|;| were+;+-0.1092693954706192|;| taken+;+-0.04302419722080231|;|.+;+-0.0015703336102887988"
"But the big thing, never quit, never give up; do something you love. When you find your passion, embrace it wholeheartedly. Stay curious and explore new avenues. Every challenge is an opportunity for growth. Surround yourself with positivity and stay committed. Life's twists may be daunting, yet perseverance leads to breakthroughs. Celebrate small wins and learn from failures. In the grand scheme, joy comes from the journey, so keep moving forward with enthusiasm.","find+;+-0.261966347694397|;| your+;+-0.18117839097976685|;| passion+;+-0.0020674681290984154|;|,+;+-0.0004940562648698688|;| embrace+;+-1.192772626876831|;| it+;+-0.00025073037249967456|;| wholeheartedly+;+-0.3556787967681885|;|.+;+-0.05409149453043938|;| Stay+;+-9999.0|;| curious+;+-1.345615267753601|;| and+;+-0.43124520778656006|;| explore+;+-1.0282474756240845|;| new+;+-0.29383787512779236|;| avenues+;+-0.5382152795791626|;|.+;+-0.8453398942947388|;| Every+;+-3.2874159812927246|;| challenge+;+-0.835919976234436|;| is+;+-0.841505765914917|;| an+;+-0.19463752210140228|;| opportunity+;+-0.0005189551156945527|;| for+;+-0.7557314038276672|;| growth+;+-0.0006862253649160266|;|.+;+-0.4771932065486908|;| Surround+;+-0.23263497650623322|;| yourself+;+-5.2524021157296374e-05|;| with+;+-1.9361264946837764e-07|;| positivity+;+-0.9293360710144043|;| and+;+-0.41874977946281433|;| stay+;+-9999.0|;| committed+;+-2.6871304512023926|;|.+;+-2.490919589996338|;| Life+;+-1.2202627658843994|;|'s+;+-1.6518311500549316|;| twists+;+-3.858036518096924|;| may+;+-1.5522503852844238|;| be+;+-0.9316498637199402|;| daunting+;+-0.33002039790153503|;|,+;+-0.005229494534432888|;| yet+;+-0.6326283812522888|;| perseverance+;+-1.9744083881378174|;| leads+;+-1.4131451845169067|;| to+;+-0.0023481729440391064|;| breakthroughs+;+-5.939419269561768|;|.+;+-0.0024704246316105127|;| Celebrate+;+-1.4548646211624146|;| small+;+-0.199586883187294|;| wins+;+-3.1722493171691895|;| and+;+-1.4390714168548584|;| learn+;+-0.5940203666687012|;| from+;+-0.0035350904799997807|;| failures+;+-2.8273401260375977|;|.+;+-0.0664234608411789|;| In+;+-3.193507432937622|;| the+;+-0.24093881249427795|;| grand+;+-2.901144027709961|;| scheme+;+-1.3923914432525635|;|,+;+-0.02630389854311943|;| joy+;+-3.213064193725586|;| comes+;+-1.0787243843078613|;| from+;+-0.018650734797120094|;| the+;+-0.44843173027038574|;| journey+;+-0.011709724552929401|;|,+;+-0.11291707307100296|;| so+;+-2.362968683242798|;| keep+;+-0.8560346961021423|;| moving+;+-0.24174661934375763|;| forward+;+-0.0005211008246988058|;| with+;+-0.08264405280351639|;| enthusiasm+;+-0.6477832794189453|;|.+;+-0.6211541891098022"
"If you're Democrat, you have automatic protection. That's years and years of people putting in Their policies and priorities that ensure you’re sheltered from scrutiny. But let’s shift our focus elsewhere. We need to cultivate a spirit of unity, where everyone is accountable, regardless of party affiliation. It's about finding common ground and fostering dialogue. Ultimately, it’s the collaboration that will lead us into a brighter future, for all citizens, not just a select few.","Their+;+-9999.0|;| policies+;+-9999.0|;| and+;+-2.3520541191101074|;| priorities+;+-4.474347114562988|;| that+;+-3.945319652557373|;| ensure+;+-3.699337959289551|;| you+;+-2.613530158996582|;|’re+;+-1.1382856369018555|;| sheltered+;+-4.023519515991211|;| from+;+-0.1484527587890625|;| scrutiny+;+-3.3023929595947266|;|.+;+-0.07029307633638382|;| But+;+-1.6078264713287354|;| let+;+-0.8327783942222595|;|’s+;+-0.02819848619401455|;| shift+;+-1.7883703708648682|;| our+;+-1.5811009407043457|;| focus+;+-0.08347640931606293|;| elsewhere+;+-3.7986202239990234|;|.+;+-0.6855311989784241|;| We+;+-2.484276533126831|;| need+;+-1.1279505491256714|;| to+;+-0.20561297237873077|;| cultivate+;+-4.178198337554932|;| a+;+-0.8420926928520203|;| spirit+;+-2.4105873107910156|;| of+;+-0.006227982696145773|;| unity+;+-1.0098049640655518|;|,+;+-0.919867217540741|;| where+;+-1.2636419534683228|;| everyone+;+-1.7151719331741333|;| is+;+-2.375577449798584|;| accountable+;+-1.2659087181091309|;|,+;+-0.678444504737854|;| regardless+;+-0.2348775416612625|;| of+;+-1.9266199160483666e-05|;| party+;+-0.8132953643798828|;| affiliation+;+-0.44162851572036743|;|.+;+-0.0005581548321060836|;| It's+;+-2.391781806945801|;| about+;+-2.0473060607910156|;| finding+;+-4.29448938369751|;| common+;+-0.017617980018258095|;| ground+;+-0.0015859126579016447|;| and+;+-0.6281341314315796|;| fostering+;+-0.763835608959198|;| dialogue+;+-1.2147347927093506|;|.+;+-1.2054575681686401|;| Ultimately+;+-9999.0|;|,+;+-1.9361264946837764e-07|;| it+;+-2.9781155586242676|;|’s+;+-0.059431303292512894|;| the+;+-0.742363452911377|;| collaboration+;+-2.505557060241699|;| that+;+-0.4881766438484192|;| will+;+-0.9944353103637695|;| lead+;+-1.1478333473205566|;| us+;+-0.2827962636947632|;| into+;+-4.884160995483398|;| a+;+-0.02157468907535076|;| brighter+;+-0.27322056889533997|;| future+;+-0.6234418749809265|;|,+;+-0.3272284269332886|;| for+;+-9999.0|;| all+;+-0.33597373962402344|;| citizens+;+-0.4400145411491394|;|,+;+-0.3265288770198822|;| not+;+-1.4913750886917114|;| just+;+-0.0016530444845557213|;| a+;+-0.05692999064922333|;| select+;+-0.07585709542036057|;| few+;+-0.0036237118765711784|;|.+;+-9.484132169745862e-05"
"In the last three years, ICE has arrested over 5,000 wicked human traffickers. And I know we must remain vigilant against this heinous crime. Every individual deserves safety and dignity, free from exploitation. We will strengthen our borders and support law enforcement to ensure justice prevails. Together, we can cultivate a society that prioritizes the well-being of its citizens, ensuring that every community thrives in harmony, fostering respect and understanding among one another.","know+;+-4.911383628845215|;| we+;+-2.26212477684021|;| must+;+-0.11874977499246597|;| remain+;+-1.1922471523284912|;| vigilant+;+-0.021107560023665428|;| against+;+-1.519632339477539|;| this+;+-0.9499691128730774|;| hein+;+-0.9152787327766418|;|ous+;+-6.704273118884885e-07|;| crime+;+-0.0013385741040110588|;|.+;+-0.19073686003684998|;| Every+;+-2.0903711318969727|;| individual+;+-1.652033805847168|;| deserves+;+-0.037645019590854645|;| safety+;+-0.5141434669494629|;| and+;+-0.056136880069971085|;| dignity+;+-1.5487678050994873|;|,+;+-0.4163038730621338|;| free+;+-0.6655898094177246|;| from+;+-3.023293538717553e-05|;| exploitation+;+-0.08354923129081726|;|.+;+-0.02656976878643036|;| We+;+-1.5650088787078857|;| will+;+-1.5161452293395996|;| strengthen+;+-1.8879706859588623|;| our+;+-0.03288467228412628|;| borders+;+-1.488219141960144|;| and+;+-0.39569786190986633|;| support+;+-2.3365743160247803|;| law+;+-0.9469619393348694|;| enforcement+;+-1.306760805164231e-05|;| to+;+-1.8981857299804688|;| ensure+;+-1.120424509048462|;| justice+;+-0.6513102650642395|;| prev+;+-0.27149730920791626|;|ails+;+0.0|;|.+;+-0.00484910374507308|;| Together+;+-0.3382127285003662|;|,+;+-0.002597180427983403|;| we+;+-0.16764329373836517|;| can+;+-0.20082789659500122|;| cultivate+;+-3.8580732345581055|;| a+;+-0.18558301031589508|;| society+;+-0.1722467690706253|;| that+;+-1.772698163986206|;| priorit+;+-1.7615331411361694|;|izes+;+-1.9361264946837764e-07|;| the+;+-1.9100806713104248|;| well+;+-0.48043695092201233|;|-being+;+0.0|;| of+;+-0.005235529970377684|;| its+;+-0.9404442310333252|;| citizens+;+-0.32397833466529846|;|,+;+-0.399723082780838|;| ensuring+;+-4.448577404022217|;| that+;+-0.33151429891586304|;| every+;+-1.5764682292938232|;| community+;+-1.6303203105926514|;| thrives+;+-0.3424645960330963|;| in+;+-1.0173149108886719|;| harmony+;+-1.5293117761611938|;|,+;+-1.3462148904800415|;| fostering+;+-2.4249637126922607|;| respect+;+-3.295562982559204|;| and+;+-0.1192127987742424|;| understanding+;+-2.3907852172851562|;| among+;+-0.29436901211738586|;| one+;+-4.409893035888672|;| another+;+-2.3199920178740285e-05|;|.+;+-0.0007425647345371544"
