Mimicking,Log_prob
"In West Africa, our troops, our scientists, our doctors, our nurses, our health care workers are not just combating a disease; they are embodying the very essence of humanity’s resilience. Each day, they face daunting challenges, yet their unwavering spirit shines through. This collective effort is a testament to our shared values and the belief that together, we can overcome the greatest of adversities. It is crucial we stand united to amplify their vital work.","are+;+-0.002109932480379939|;| not+;+-0.7692239284515381|;| just+;+-0.5514039993286133|;| combating+;+-1.6318914890289307|;| a+;+-0.5286452174186707|;| disease+;+-1.878188133239746|;|;+;+-0.007439558859914541|;| they+;+-0.005234356038272381|;| are+;+-0.013664821162819862|;| embody+;+-0.22760051488876343|;|ing+;+0.0|;| the+;+-0.22550462186336517|;| very+;+-0.5242994427680969|;| essence+;+-0.8558683395385742|;| of+;+0.0|;| humanity+;+-0.17902307212352753|;|’s+;+-1.760737657546997|;| resilience+;+-0.40201547741889954|;|.+;+-0.16932561993598938|;| Each+;+-0.8383529186248779|;| day+;+-0.22759416699409485|;|,+;+-0.09604812413454056|;| they+;+-0.061535779386758804|;| face+;+-1.0266586542129517|;| daunting+;+-1.2414695024490356|;| challenges+;+-0.005286053754389286|;|,+;+-0.3850999176502228|;| yet+;+-0.1784045398235321|;| their+;+-1.2561969757080078|;| unwavering+;+-0.43404436111450195|;| spirit+;+-1.1156712770462036|;| shines+;+-0.39169296622276306|;| through+;+-0.3168180286884308|;|.+;+-0.340853750705719|;| This+;+-1.7991923093795776|;| collective+;+-0.9813951253890991|;| effort+;+-0.16138781607151031|;| is+;+-1.5525884628295898|;| a+;+-0.10976044088602066|;| testament+;+-0.07887425273656845|;| to+;+-0.00627632113173604|;| our+;+-0.4779767692089081|;| shared+;+-0.09538807719945908|;| values+;+-0.975512683391571|;| and+;+-0.858756422996521|;| the+;+-1.3176743984222412|;| belief+;+-0.5771499872207642|;| that+;+-0.001192371710203588|;| together+;+-0.7551405429840088|;|,+;+-0.07940676808357239|;| we+;+-0.003536398056894541|;| can+;+-0.0006995689473114908|;| overcome+;+-0.3308691382408142|;| the+;+-1.8555432558059692|;| greatest+;+-1.4269821643829346|;| of+;+-0.532837450504303|;| advers+;+-0.8668672442436218|;|ities+;+-2.1008713702030946e-06|;|.+;+-0.08929210156202316|;| It+;+-2.7917559146881104|;| is+;+-0.17941369116306305|;| crucial+;+-3.1886956691741943|;| we+;+-1.9868472814559937|;| stand+;+-3.2549216747283936|;| united+;+-0.08268312364816666|;| to+;+-3.5482685565948486|;| amplify+;+-4.513550758361816|;| their+;+-1.685561180114746|;| vital+;+-3.3574604988098145|;| work+;+-0.07840494066476822|;|.+;+-0.04425494372844696"
"As a community, you've inspired us, Newtown. In the face of indescribable violence, in the face of unfathomable grief, you've risen to the occasion, embodying hope and resilience. Your strength has become a beacon of light in dark times, teaching us that compassion cannot be extinguished. Let us honor those we've lost by continuing to stand together, fostering understanding, and nurturing a spirit of togetherness that transcends pain and division.","face+;+-0.0011683182092383504|;| of+;+0.0|;| unf+;+-2.1431751251220703|;|ath+;+-1.3856492842023727e-06|;|om+;+0.0|;|able+;+0.0|;| grief+;+-1.2795324325561523|;|,+;+-0.00014120421838015318|;| you've+;+-0.7589332461357117|;| risen+;+-3.8749794960021973|;| to+;+-1.2309397459030151|;| the+;+-0.9561229944229126|;| occasion+;+-0.2521393895149231|;|,+;+-0.9400681853294373|;| embody+;+-1.906163215637207|;|ing+;+0.0|;| hope+;+-6.056093215942383|;| and+;+-0.13539274036884308|;| resilience+;+-0.003668486839160323|;|.+;+-0.041555918753147125|;| Your+;+-0.5371059775352478|;| strength+;+-0.5309062004089355|;| has+;+-1.1229010820388794|;| become+;+-1.5217468738555908|;| a+;+-0.0023151186760514975|;| beacon+;+-0.04731781408190727|;| of+;+-2.964411973953247|;| light+;+-0.032882824540138245|;| in+;+-2.48490047454834|;| dark+;+-0.7581397294998169|;| times+;+-0.001232730457559228|;|,+;+-0.14526857435703278|;| teaching+;+-3.73014497756958|;| us+;+-0.037504952400922775|;| that+;+-1.0495684146881104|;| compassion+;+-2.499662160873413|;| cannot+;+-9999.0|;| be+;+-0.0017430083826184273|;| extingu+;+-0.051802195608615875|;|ished+;+0.0|;|.+;+-0.17028023302555084|;| Let+;+-2.0351009368896484|;| us+;+-0.35290172696113586|;| honor+;+-0.43450188636779785|;| those+;+-1.0480962991714478|;| we've+;+-0.5313875675201416|;| lost+;+-5.319370302458992e-06|;| by+;+-0.021820824593305588|;| continuing+;+-1.1883645057678223|;| to+;+-0.05908987671136856|;| stand+;+-2.8352303504943848|;| together+;+-0.12151988595724106|;|,+;+-0.007818128913640976|;| fostering+;+-1.326977014541626|;| understanding+;+-0.6425389051437378|;|,+;+-0.5779455304145813|;| and+;+-0.0221274234354496|;| nurturing+;+-1.1800326108932495|;| a+;+-0.9989544153213501|;| spirit+;+-0.795200765132904|;| of+;+-0.012666800990700722|;| together+;+-4.148579120635986|;|ness+;+0.0|;| that+;+-0.05607037991285324|;| transc+;+-0.988621175289154|;|ends+;+-1.9361264946837764e-07|;| pain+;+-2.507441520690918|;| and+;+-0.42079949378967285|;| division+;+-2.598958969116211|;|.+;+-0.084988072514534"
"Well, I think John Boehner and I and Mitch McConnell and Harry Reid and Nancy Pelosi can find common ground. The American people expect us to rise above partisanship, to prioritize their well-being over divisive politics. We have a responsibility to foster dialogue, to listen to the concerns of our constituents, and to work tirelessly for solutions that embody our shared values. Together, we can shape a future that reflects hope, not division.","Pel+;+-4.320199877838604e-07|;|osi+;+-3.128163257315464e-07|;| can+;+-2.1868648529052734|;| find+;+-0.3914581537246704|;| common+;+-0.002710603876039386|;| ground+;+-3.7146746763028204e-05|;|.+;+-1.9263185262680054|;| The+;+-2.3687305450439453|;| American+;+-0.5753653645515442|;| people+;+-0.0014041600516065955|;| expect+;+-1.0723803043365479|;| us+;+-0.03773433715105057|;| to+;+-0.003485677530989051|;| rise+;+-0.3850102424621582|;| above+;+-0.005321631673723459|;| part+;+-0.7077867388725281|;|isans+;+0.0|;|hip+;+-1.9361264946837764e-07|;|,+;+-0.3950117826461792|;| to+;+-0.010690399445593357|;| prioritize+;+-2.9546706676483154|;| their+;+-0.7087625861167908|;| well+;+-5.987771034240723|;|-being+;+-1.9361264946837764e-07|;| over+;+-0.1912160962820053|;| divis+;+-7.162298202514648|;|ive+;+-0.0009292102768085897|;| politics+;+-0.37589263916015625|;|.+;+-0.0004977479111403227|;| We+;+-1.1784106492996216|;| have+;+-1.9589622020721436|;| a+;+-1.1961392164230347|;| responsibility+;+-0.41430386900901794|;| to+;+-0.07288571447134018|;| foster+;+-2.375434160232544|;| dialogue+;+-0.48357510566711426|;|,+;+-0.2577388882637024|;| to+;+-0.14309024810791016|;| listen+;+-0.8006728291511536|;| to+;+-0.866317868232727|;| the+;+-1.532102346420288|;| concerns+;+-1.16208815574646|;| of+;+-0.06133510172367096|;| our+;+-0.5077970623970032|;| constituents+;+-0.02644694410264492|;|,+;+-0.2638901472091675|;| and+;+-0.006989580113440752|;| to+;+-0.036878738552331924|;| work+;+-1.4908305406570435|;| tirelessly+;+-1.8765954971313477|;| for+;+-1.131133794784546|;| solutions+;+-0.16318893432617188|;| that+;+-0.03840337321162224|;| embody+;+-5.378700256347656|;| our+;+-1.112165927886963|;| shared+;+-0.02800898626446724|;| values+;+-0.016504433006048203|;|.+;+-0.20245429873466492|;| Together+;+-0.4799593389034271|;|,+;+-6.027225754223764e-05|;| we+;+-0.15600550174713135|;| can+;+-0.013333285227417946|;| shape+;+-4.516382217407227|;| a+;+-0.029971938580274582|;| future+;+-0.8528501391410828|;| that+;+-0.1972149759531021|;| reflects+;+-0.2819415032863617|;| hope+;+-0.9032996892929077|;|,+;+-1.1407055854797363|;| not+;+-3.972613573074341|;| division+;+-0.7001689672470093|;|.+;+-0.00017195509281009436"
"Now, there are costs associated with this transition. And there are some who believe that the pursuit of sustainability is a luxury we cannot afford. But let me be clear: the stakes are too high, and the benefits too profound to allow fear of change to hold us back. It's imperative that we embrace innovation and invest in the green technologies that will not only protect our planet but also create new opportunities for growth and prosperity.","the+;+-0.835129976272583|;| pursuit+;+-5.404394149780273|;| of+;+0.0|;| sustainability+;+-3.2218546867370605|;| is+;+-0.919653058052063|;| a+;+-0.9141371250152588|;| luxury+;+-0.060078658163547516|;| we+;+-0.0035297556314617395|;| cannot+;+-0.15374118089675903|;| afford+;+-0.0039048073813319206|;|.+;+-0.19445940852165222|;| But+;+-0.48250988125801086|;| let+;+-0.6707143783569336|;| me+;+-0.4008820056915283|;| be+;+-0.024104218930006027|;| clear+;+-0.0008464370621368289|;|:+;+-0.0032430703286081553|;| the+;+-0.843393862247467|;| stakes+;+-4.9324951171875|;| are+;+-0.15417787432670593|;| too+;+-0.3091906011104584|;| high+;+-1.5451681974809617e-05|;|,+;+-1.684458613395691|;| and+;+-0.09241306036710739|;| the+;+-0.054618872702121735|;| benefits+;+-3.191289186477661|;| too+;+-0.8564168214797974|;| profound+;+-0.7098568677902222|;| to+;+-1.067328929901123|;| allow+;+-5.869976997375488|;| fear+;+-0.3055703639984131|;| of+;+-1.1647734642028809|;| change+;+-2.1619203090667725|;| to+;+-0.00015633940347470343|;| hold+;+-1.666833758354187|;| us+;+-5.319370302458992e-06|;| back+;+-0.0025207267608493567|;|.+;+-1.4140441635390744e-05|;| It's+;+-5.324233055114746|;| imperative+;+-3.282838821411133|;| that+;+-0.06528892368078232|;| we+;+-0.0002547832846175879|;| embrace+;+-1.4292830228805542|;| innovation+;+-0.20552077889442444|;| and+;+-1.3300302028656006|;| invest+;+-0.7302705645561218|;| in+;+-0.028341619297862053|;| the+;+-2.7405917644500732|;| green+;+-1.3165721893310547|;| technologies+;+-0.11524363607168198|;| that+;+-0.8263759016990662|;| will+;+-0.06580908596515656|;| not+;+-1.4018194675445557|;| only+;+-0.0076628210954368114|;| protect+;+-1.6224067211151123|;| our+;+-0.0005326599348336458|;| planet+;+-0.012829465791583061|;| but+;+-0.026772426441311836|;| also+;+-0.053003132343292236|;| create+;+-0.22244933247566223|;| new+;+-1.7502660751342773|;| opportunities+;+-2.2667596340179443|;| for+;+-0.00791287049651146|;| growth+;+-1.70475172996521|;| and+;+-0.03526686131954193|;| prosperity+;+-0.555809497833252|;|.+;+-0.06416070461273193"
"Beyond compensating the people of the Gulf in the short term, it's also clear we need to invest in sustainable initiatives that empower local communities and foster economic resilience. This means partnering with businesses, advocating for education and training programs, and harnessing the power of innovation. Our commitment must extend beyond mere recovery; it should embody a vision of restoration that honors the spirit of those who call this vibrant region home.","need+;+-0.02980939857661724|;| to+;+-0.024547608569264412|;| invest+;+-0.6352143287658691|;| in+;+-0.0016697037499397993|;| sustainable+;+-0.2517964839935303|;| initiatives+;+-2.580524206161499|;| that+;+-0.0006800267728976905|;| empower+;+-0.7741460800170898|;| local+;+-0.08182363212108612|;| communities+;+-0.008295525796711445|;| and+;+-0.8243613839149475|;| foster+;+-1.883112907409668|;| economic+;+-2.035519599914551|;| resilience+;+-0.007737939711660147|;|.+;+-0.0014789171982556581|;| This+;+-0.6409039497375488|;| means+;+-0.43025824427604675|;| partnering+;+-4.005383014678955|;| with+;+-6.408677290892228e-05|;| businesses+;+-2.8352856636047363|;|,+;+-0.167562335729599|;| advocating+;+-4.533778190612793|;| for+;+-3.1782583391759545e-05|;| education+;+-3.4138145446777344|;| and+;+-1.232788324356079|;| training+;+-0.8488922715187073|;| programs+;+-1.0748674869537354|;|,+;+-0.0008932363707572222|;| and+;+-2.8087270038668066e-05|;| harness+;+-3.685598373413086|;|ing+;+0.0|;| the+;+-0.21519754827022552|;| power+;+-3.8289880752563477|;| of+;+-3.128163257315464e-07|;| innovation+;+-0.11798200011253357|;|.+;+-0.6974891424179077|;| Our+;+-3.6235203742980957|;| commitment+;+-0.23788002133369446|;| must+;+-0.3355869650840759|;| extend+;+-1.0731768608093262|;| beyond+;+-1.0323741436004639|;| mere+;+-0.44495874643325806|;| recovery+;+-0.15851759910583496|;|;+;+-0.025994641706347466|;| it+;+-0.23543518781661987|;| should+;+-0.5784019827842712|;| embody+;+-3.649320602416992|;| a+;+-0.06069943308830261|;| vision+;+-0.04695277661085129|;| of+;+-1.050520420074463|;| restoration+;+-4.23372220993042|;| that+;+-0.8373851180076599|;| honors+;+-0.40371522307395935|;| the+;+-0.04732179641723633|;| spirit+;+-1.2397427558898926|;| of+;+-0.35729387402534485|;| those+;+-1.6236517429351807|;| who+;+-0.05712365359067917|;| call+;+-0.038489069789648056|;| this+;+-0.1602717489004135|;| vibrant+;+-0.749739944934845|;| region+;+-0.02416902966797352|;| home+;+-0.0019289902411401272|;|.+;+-0.003162868320941925"
"Let's also remember that after parents, the biggest impact on a child's success comes from teachers and mentors. These dedicated individuals, day in and day out, shape the minds of our youth, inspire their ambitions, and instill values that carry them through life. We must invest in their professional development, providing the resources and support they need to flourish. Because when we invest in educators, we're investing in a brighter future for all our children.","teachers+;+-0.8428875207901001|;| and+;+-1.262953281402588|;| mentors+;+-0.008810387924313545|;|.+;+-1.2035858631134033|;| These+;+-0.34324222803115845|;| dedicated+;+-0.1481156349182129|;| individuals+;+-0.010140403173863888|;|,+;+-3.8628342151641846|;| day+;+-2.2524962425231934|;| in+;+-0.03041573241353035|;| and+;+-1.1472419600977446e-06|;| day+;+-5.836499985889532e-05|;| out+;+0.0|;|,+;+-1.9361264946837764e-07|;| shape+;+-1.1727728843688965|;| the+;+-1.58524751663208|;| minds+;+-0.062404897063970566|;| of+;+-1.2279013395309448|;| our+;+-0.1633071005344391|;| youth+;+-1.2711281776428223|;|,+;+-0.07675117254257202|;| inspire+;+-4.921632289886475|;| their+;+-1.1212422847747803|;| ambitions+;+-3.1930136680603027|;|,+;+-2.7848862373502925e-05|;| and+;+-1.0325924449716695e-05|;| inst+;+-1.2658803462982178|;|ill+;+-3.4121114822482923e-06|;| values+;+-1.1615434885025024|;| that+;+-0.010844064876437187|;| carry+;+-4.415104866027832|;| them+;+-0.414009690284729|;| through+;+-0.45124462246894836|;| life+;+-0.11533096432685852|;|.+;+-0.25195634365081787|;| We+;+-0.9408804178237915|;| must+;+-0.24646249413490295|;| invest+;+-0.40001171827316284|;| in+;+-0.05138806626200676|;| their+;+-0.3603660464286804|;| professional+;+-1.8144042491912842|;| development+;+-0.12720872461795807|;|,+;+-0.2814297378063202|;| providing+;+-4.486496448516846|;| the+;+-1.1208181381225586|;| resources+;+-0.31921353936195374|;| and+;+-0.9570233821868896|;| support+;+-0.03772573918104172|;| they+;+-0.26757895946502686|;| need+;+-0.008225536905229092|;| to+;+-0.2891068160533905|;| flourish+;+-2.65187931060791|;|.+;+-0.3290177583694458|;| Because+;+-1.4401941299438477|;| when+;+-0.16695663332939148|;| we+;+-0.1307041496038437|;| invest+;+-3.3878188133239746|;| in+;+-4.727905979962088e-05|;| educators+;+-2.2026374340057373|;|,+;+-2.2842308680992573e-05|;| we're+;+-3.0486252307891846|;| investing+;+-0.7868106961250305|;| in+;+-0.01055452972650528|;| a+;+-1.8973960876464844|;| brighter+;+-0.010305367410182953|;| future+;+-0.04343770444393158|;| for+;+-0.000585918256547302|;| all+;+-0.6986944079399109|;| our+;+-0.8003890514373779|;| children+;+-0.0002682496269699186|;|.+;+-0.0002584785979706794"
"Now, I know that the price of tuition is higher than ever, which is why we must do more to ensure that our young people have access to quality education. Every child, regardless of their zip code, deserves the opportunity to learn, to grow, and to excel. It's not just about providing a degree; it's about empowering future generations with the tools they need to succeed in an increasingly competitive world.","we+;+-0.22442179918289185|;| must+;+-0.013222110457718372|;| do+;+-4.33244514465332|;| more+;+-1.3352148532867432|;| to+;+-0.02137843146920204|;| ensure+;+-0.35004279017448425|;| that+;+-0.013401029631495476|;| our+;+-3.225768566131592|;| young+;+-0.18172891438007355|;| people+;+-0.0011742709903046489|;| have+;+-0.6160327792167664|;| access+;+-0.026970768347382545|;| to+;+-7.612634362885728e-05|;| quality+;+-0.5487697720527649|;| education+;+-0.0020084569696336985|;|.+;+-0.9554897546768188|;| Every+;+-2.204242706298828|;| child+;+-1.6196610927581787|;|,+;+-0.5692070722579956|;| regardless+;+-0.03491004556417465|;| of+;+0.0|;| their+;+-0.019646668806672096|;| zip+;+-3.4140732288360596|;| code+;+0.0|;|,+;+-0.10020904988050461|;| deserves+;+-0.20324543118476868|;| the+;+-0.19369380176067352|;| opportunity+;+-0.22728155553340912|;| to+;+-0.00012190054985694587|;| learn+;+-0.8787381052970886|;|,+;+-0.8300803899765015|;| to+;+-0.21519939601421356|;| grow+;+-0.059868596494197845|;|,+;+-4.8232690460281447e-05|;| and+;+-0.005928678438067436|;| to+;+-0.0013669042382389307|;| excel+;+-5.619526386260986|;|.+;+-0.007872898131608963|;| It's+;+-2.464292049407959|;| not+;+-0.6670214533805847|;| just+;+-0.08431651443243027|;| about+;+-1.0678057670593262|;| providing+;+-4.61671781539917|;| a+;+-1.22749662399292|;| degree+;+-0.9613706469535828|;|;+;+-0.019122393801808357|;| it's+;+-0.12696003913879395|;| about+;+-1.0564331205387134e-05|;| empowering+;+-1.1355218887329102|;| future+;+-1.7075707912445068|;| generations+;+-0.4753117561340332|;| with+;+-1.6435151100158691|;| the+;+-0.03531081974506378|;| tools+;+-0.6496385931968689|;| they+;+-0.028555378317832947|;| need+;+-7.183501293184236e-05|;| to+;+-0.0008541669230908155|;| succeed+;+-0.7581616044044495|;| in+;+-0.12419438362121582|;| an+;+-0.4843653738498688|;| increasingly+;+-0.6957074403762817|;| competitive+;+-0.5789831876754761|;| world+;+-0.03895662724971771|;|.+;+-0.002015121281147003"
"Now, this isn't to say that the African American community is naive about the fact that systemic challenges persist. Indeed, the resilience and strength shown by countless individuals in the face of adversity illustrate a profound awareness—an understanding that while progress has been made, significant barriers remain. It's imperative that we work together, acknowledge these realities, and forge pathways toward equity and justice, ensuring that future generations inherit a fairer society.","that+;+-7.231182826217264e-05|;| systemic+;+-0.34458935260772705|;| challenges+;+-0.7461530566215515|;| persist+;+-0.1266382783651352|;|.+;+-0.10118851065635681|;| Indeed+;+-3.123936414718628|;|,+;+0.0|;| the+;+-3.6426050662994385|;| resilience+;+-0.5746498107910156|;| and+;+-1.2560608386993408|;| strength+;+-1.0711199045181274|;| shown+;+-2.8158950805664062|;| by+;+-0.9565726518630981|;| countless+;+-1.6269793510437012|;| individuals+;+-0.02062901481986046|;| in+;+-2.0619993209838867|;| the+;+-0.11875411123037338|;| face+;+-0.0022689702454954386|;| of+;+0.0|;| adversity+;+-0.03514590114355087|;| illustrate+;+-3.760913372039795|;| a+;+-0.10685912519693375|;| profound+;+-0.1199372336268425|;| awareness+;+-2.6131844520568848|;|—+;+-5.048908233642578|;|an+;+-0.09899130463600159|;| understanding+;+-0.0726495161652565|;| that+;+-0.05142960697412491|;| while+;+-2.156154155731201|;| progress+;+-0.23240263760089874|;| has+;+-0.01943332329392433|;| been+;+-0.0010475777089595795|;| made+;+-0.0034121328499168158|;|,+;+-6.034592388459714e-06|;| significant+;+-4.141396522521973|;| barriers+;+-1.968970537185669|;| remain+;+-0.1658468395471573|;|.+;+-0.004739126190543175|;| It's+;+-2.2533371448516846|;| imperative+;+-1.8026741743087769|;| that+;+-0.16555513441562653|;| we+;+-0.0040497868321835995|;| work+;+-3.3834228515625|;| together+;+-0.43129220604896545|;|,+;+-0.23593755066394806|;| acknowledge+;+-9999.0|;| these+;+-0.6887789964675903|;| realities+;+-0.47918233275413513|;|,+;+-0.00020616286201402545|;| and+;+-6.623244553338736e-05|;| forge+;+-1.5024995803833008|;| pathways+;+-0.7585011720657349|;| toward+;+-0.7603866457939148|;| equity+;+-0.6333426833152771|;| and+;+-0.7425605058670044|;| justice+;+-0.5317211747169495|;|,+;+-0.634890615940094|;| ensuring+;+-0.19811077415943146|;| that+;+-0.13997267186641693|;| future+;+-1.0612928867340088|;| generations+;+-9.088346359931165e-07|;| inherit+;+-0.3336942791938782|;| a+;+-0.07678617537021637|;| fair+;+-1.2154695987701416|;|er+;+-0.006499124225229025|;| society+;+-0.24863243103027344|;|.+;+-0.009215150959789753"
"There's never been a better time to build, especially since the construction industry was one of the hardest-hit sectors during the recession. We have an opportunity to revitalize our communities, create good-paying jobs, and invest in the infrastructure that will shape our cities for decades to come. It's not just about steel and concrete; it's about the dreams and aspirations of countless families who depend on these projects for a brighter future.","of+;+-7.226628895296017e-06|;| the+;+-0.00048775310278870165|;| hardest+;+-0.14250531792640686|;|-hit+;+-2.3502259254455566|;| sectors+;+-0.006565453018993139|;| during+;+-0.014235435053706169|;| the+;+-0.019821064546704292|;| recession+;+-2.817439556121826|;|.+;+-0.0003609680861700326|;| We+;+-0.9062873125076294|;| have+;+-0.11332418769598007|;| an+;+-0.7635228037834167|;| opportunity+;+-0.027529090642929077|;| to+;+-0.6945745348930359|;| rev+;+-2.280066967010498|;|italize+;+-0.00026181264547631145|;| our+;+-0.0807153508067131|;| communities+;+-0.9106661677360535|;|,+;+-0.09279437363147736|;| create+;+-0.3168124556541443|;| good+;+-1.6694402694702148|;|-paying+;+-0.12748244404792786|;| jobs+;+-3.650518920039758e-06|;|,+;+-0.0005710251862183213|;| and+;+-4.127333340875339e-06|;| invest+;+-0.5448793768882751|;| in+;+-3.6789137084269896e-05|;| the+;+-1.936848759651184|;| infrastructure+;+-0.18481303751468658|;| that+;+-0.024674974381923676|;| will+;+-0.8370953798294067|;| shape+;+-5.452719688415527|;| our+;+-0.07039985060691833|;| cities+;+-4.935286045074463|;| for+;+-0.023876799270510674|;| decades+;+-3.9032764434814453|;| to+;+-0.020575053989887238|;| come+;+0.0|;|.+;+-3.128163257315464e-07|;| It's+;+-4.017441749572754|;| not+;+-1.1607601642608643|;| just+;+-0.08634588122367859|;| about+;+-0.0012113067787140608|;| steel+;+-2.4553134441375732|;| and+;+-0.01839832030236721|;| concrete+;+-0.006677717436105013|;|;+;+-0.010703019797801971|;| it's+;+-0.2025350034236908|;| about+;+-0.00022725824965164065|;| the+;+-2.3054330348968506|;| dreams+;+-0.9149501323699951|;| and+;+-0.5916892886161804|;| aspirations+;+-0.064519964158535|;| of+;+-0.10606305301189423|;| countless+;+-2.776780366897583|;| families+;+-0.10500002652406693|;| who+;+-0.5779405832290649|;| depend+;+-1.1270694732666016|;| on+;+-0.00017970333283301443|;| these+;+-1.765887975692749|;| projects+;+-0.25544625520706177|;| for+;+-0.5574733018875122|;| a+;+-0.5882603526115417|;| brighter+;+-0.35020509362220764|;| future+;+-0.03030494786798954|;|.+;+-0.00010509284038562328"
"And I believe we can do this again. As we do, the successes and failures of our past will inform our path forward. We must learn from the triumphs that unite us and the setbacks that challenge us. Together, we can harness the power of our shared experience to foster resilience, to innovate, and to pursue the change that our communities so desperately need. This is our moment to rise and inspire.","of+;+-0.4122285842895508|;| our+;+-0.23299247026443481|;| past+;+-0.03438727557659149|;| will+;+-0.37189415097236633|;| inform+;+-4.023774147033691|;| our+;+-0.014792443253099918|;| path+;+-0.6721749305725098|;| forward+;+-0.0022300712298601866|;|.+;+-0.06363297253847122|;| We+;+-0.5249928832054138|;| must+;+-0.09820646047592163|;| learn+;+-1.3656009435653687|;| from+;+-0.02580052986741066|;| the+;+-1.3611410856246948|;| triumph+;+-3.727735996246338|;|s+;+-2.618001053633634e-05|;| that+;+-0.12950794398784637|;| unite+;+-1.9242372512817383|;| us+;+-0.0002956591488327831|;| and+;+-0.188727006316185|;| the+;+-0.009942247532308102|;| setbacks+;+-0.5093095898628235|;| that+;+-2.8087270038668066e-05|;| challenge+;+-0.1255495697259903|;| us+;+-0.632607102394104|;|.+;+-0.06195894628763199|;| Together+;+-0.6017113924026489|;|,+;+-7.624555291840807e-05|;| we+;+-0.22554278373718262|;| can+;+-0.2456860989332199|;| harness+;+-0.8324338793754578|;| the+;+-1.3902829885482788|;| power+;+-1.7045860290527344|;| of+;+-7.553032628493384e-05|;| our+;+-0.9860535264015198|;| shared+;+-0.7844452857971191|;| experience+;+-2.542811393737793|;| to+;+-0.7144553065299988|;| foster+;+-2.2201662063598633|;| resilience+;+-0.8488864302635193|;|,+;+-0.8417094945907593|;| to+;+-2.0935983657836914|;| innovate+;+-1.3766963481903076|;|,+;+-0.27648162841796875|;| and+;+-0.00150390958879143|;| to+;+-0.02344544231891632|;| pursue+;+-9999.0|;| the+;+-2.8124027252197266|;| change+;+-4.701511859893799|;| that+;+-1.0245146751403809|;| our+;+-0.8228368163108826|;| communities+;+-0.23843823373317719|;| so+;+-0.7746928334236145|;| desperately+;+-0.1049899309873581|;| need+;+-0.07805834710597992|;|.+;+-0.02730349637567997|;| This+;+-2.038109064102173|;| is+;+-0.1449892371892929|;| our+;+-0.4837920367717743|;| moment+;+-0.0872063934803009|;| to+;+-0.29917487502098083|;| rise+;+-0.33789026737213135|;| and+;+-1.1629812717437744|;| inspire+;+-3.2797963619232178|;|.+;+-0.5330731868743896"
