Input,Result
"Keep in mind we've got a bunch of court cases that are out there as well. And something that would be very disruptive to good order and discipline and unit cohesion is if we've got this issue bouncing around in the courts. This is about not wanting people to have to guess what the law is. This is about making sure that they understand what the rules are and that we are able to apply them consistently going forward.
",yes
"So in the months ahead, America must use all our influence to encourage reform in the region. Even as we acknowledge that each country is different, we need to speak honestly about the principles that we believe in. We'll make the case that the most stable and prosperous nations are built on the bedrock of the rule of law, good governance, and respect for human rights. By offering that message to the world, we are staying true to our values and staying competitive in the global marketplace.
",yes
"Nevertheless, during the post-World War II years, the economic ground felt stable and secure for most Americans, and the future looked brighter than the past. And for some, that meant following in your old man's footsteps at the local plant, and you knew that a blue-collar job would let you buy a home, and a car, maybe a vacation once in a while, health care, a reliable pension. For others, it meant going to college – and, quite frankly, it meant they imagined that they were going to have expanded opportunities in the years ahead. Opportunities for them and for their kids, ensuring that they had the same shot at success.
",yes
"For too long, we've been blind to the unique mayhem that gun violence inflicts upon this nation. Yet, we are not powerless. We can act. We can begin by simply acknowledging that the epidemic of gun violence is a serious problem, not just for the families that have been affected, but for the entire nation. It's a stain on our character, a source of deep shame.
",yes
"We should put more Americans to work building clean energy facilities and give rebates to Americans who make their homes more energy efficient, which supports clean energy jobs. And to encourage these and other businesses to stay within our borders, it is time to finally slash the tax breaks for companies that ship our jobs overseas and give those tax breaks to companies that create jobs right here in the United States of America. This will ultimately help lift up the many communities that have faced economic hardships and make sure they are more robust.
",yes
"Teachers matter. So instead of bashing them, or defending the status quo, let's offer schools the support they need to reform. And we have to insist that we're not just going to be pouring money in, but that schools are improving and results are improving. Because we know what works. We know that when you have great teachers, schools succeed.
",yes
"We've got a growing number of Republican senators who are trying to get things done Because at a certain point, you've got to ask yourself, what exactly are they trying to get done? What are they trying to achieve? Do they care about the families in their districts or states, or are they more concerned about how a vote might play with a handful of cable news talking heads? Are they more worried about the donors? 
",yes
"That's why we fought for the Affordable Care Act because 14,000 Americans lost their health insurance every single day because of a pre-existing condition. We wanted them to have health care and to get the care they needed. Not just for their own benefit, but for the benefit of their families, their communities, and for our country as a whole.
",yes
"I recognize it will be hard to overcome decades of mistrust, but we will proceed with patience and persistence. We will listen to each other and speak truthfully. We will act on our shared interests.
",yes
"History tells us that democracy is not easy. It will be years before these revolutions fully bear fruit. But already, we can see the impact of the Arab Spring. It's a reminder that governments can't simply exist by force, that legitimacy comes from the consent of the governed. And it's a reminder that we must stand for the rights of all people, from those yearning for freedom on the streets of Cairo to those struggling to make ends meet, the unemployed, and the underpaid who are stuck between jobs.
",yes
"I met some of these patriotic Americans at Fort Campbell. A while back, I spoke to the troops at Fort Drum. I had traveled to the war zone and visited with our troops in Iraq and Afghanistan. And I saw firsthand the extraordinary service and sacrifice, the commitment and the resilience of the men and women protecting our nation. They are facing a tough fight. They are doing everything we ask them to do.

",yes
