Input,Result
"Where does the concept of the Earth being six thousand years old come from? Is it from the Bible? It really does come from the Bible, if a bit indirectly. There are several passages in the Bible that give information on such things as how old people were when they had children or how long certain periods lasted, that if accepted at face value, can give a very close approximation of when Adam and Eve were created (according to the stories, at least). There are a few places where things get somewhat murky, but not enough to change things by more than a few decades* – nothing on the order of millions or billions of years. This was a fairly well accepted interpretation for generations, and many scholars made their own estimates of when creation would have taken place, including Johannes Kepler. Arguably the most respected of these was the estimate done by James Ussher, who put much effort into sorting out the murky periods. It's because Ussher's chronology was so well respected that it was included in the introductory material to several printed Bibles, including the famed Scofield Bible. Wikipedia gives a good summary of how Ussher made his estimate (Ussher chronology - Wikipedia). He broke it down into three periods: Using other sources outside the Bible, Ussher determined the enthronement of the Babylonian king Amel-Marduk to have occurred in 562 BC, which was tied in to the end of the Babylonian Captivity through 2 Kings 25:27. From there, it was just a matter of going backwards by all the years previously calculated, putting creation at 4004 BC. Creation to Exodus You can easily look up Genesis 5 and Genesis 11 for yourself, but to give an idea, here's the start of Genesis 5: This is the list of the descendants of Adam. When God created humans,[a] he made them[b] in the likeness of God. 2 Male and female he created them, and he blessed them and called them humans[c] when they were created. 3 When Adam had lived one hundred thirty years, he became the father of a son in his likeness, according to his image, and named him Seth. 4 The days of Adam after he became the father of Seth were eight hundred years, and he had other sons and daughters. 5 Thus all the days that Adam lived were nine hundred thirty years, and he died. 6 When Seth had lived one hundred five years, he became the father of Enosh. 7 Seth lived after the birth of Enosh eight hundred seven years and had other sons and daughters. 8 Thus all the days of Seth were nine hundred twelve years, and he died. It goes on and on like that. So, as long as you accept these statements as true, it's mostly a simple matter of adding up how old each man was when he begat his heir. The only real hiccups are between Noah and Shem, and between Nahor and Terah. Both of these are somewhat ambiguous. In the former, the passage states, ""After Noah was five hundred years old, Noah became the father of Shem, Ham, and Japheth."" In the latter, the passage is, ""When Terah had lived seventy years, he became the father of Abram, Nahor, and Haran."" People who care about this issue more than I do have gone into detail to try to pinpoint those ages (e.g. Contradictions: Noah’s Three Sons). You also need to know how old Abraham was when the Exodus occurred. His age at the start of all those events comes from Genesis 12:4, ""So Abram went, as the Lord had told him, and Lot went with him. Abram was seventy-five years old when he departed from Haran."" I ran the math myself with a spreadsheet, and came up with 2049 years from the creation of Adam to the birth of Abraham, plus another 75 years until the Exodus, for 2124 years total (a bit different from Ussher because I didn't put in the effort to figure out the ambiguity around Noah/Shem and Nahor/Terah). I suppose there's one other hiccup, depending on which particular version of the Bible you're using. Since we don't have an 'original' version of Genesis, we have to rely on copies of that version, most notably the Masoretic text and the Septuagint (though those aren't the only two). And those copies differ on certain details, including all those ages in Genesis 5 and Genesis 11. Exodus to Solomon's Temple Like I said, this one comes straight from a single verse, 1 Kings 6:1: In the four hundred eightieth year after the Israelites came out of the land of Egypt, in the fourth year of Solomon’s reign over Israel, in the month of Ziv, which is the second month, he began to build the house of the Lord. Solomon's Temple to the Babylonian Captivity This is the period where things purportedly get a bit more complicated. I haven't gone through this period in detail, yet, myself, but to give just one example, you have this verse from 2 Kings 3:1: In the eighteenth year of King Jehoshaphat of Judah, Jehoram son of Ahab became king over Israel in Samaria; he reigned twelve years. Go through finding all those verses and work out the years, and you come up a little over 4 centuries of history. In a somewhat independent path, other books in the Bible also give more genealogies, such that you can trace each and every claimed descendant from Adam all the way to Jesus. Granted, there aren't ages associated with all of those genealogies, but these also give a ballpark range in the thousands of years. So, if you accept the claims of the Bible at more or less face value, and assume all those genealogies represent real people and not just imaginary people made up out of thin air, and that all the events in Egypt, Israel, and Judah all really happened, you'll end up at an estimate for the date of creation somewhere around 4000 BC. As a side note, while it seems to be somewhat fashionable to dismiss exercises like these because some parts of the Bible were ‘obviously’ meant to be taken more metaphorically or allegorically, I don’t see such figurative interpretations as obvious at all. The crux of this argument would be the genealogies in Genesis 5 and Genesis 11 – after that, you’re already into Egyptian pharaohs, so nothing that’s going to be a major difference from real history (at least as far as timelines). But these genealogies aren’t fables with moral lessons or some type of simplified explanation of complex concepts for a pre-scientific society. They’re boring, dry lists of ancestry. It’s about as close to a conventional history section as you’ll find in Genesis – the part least likely to be metaphorical or allegorical (though there’s certainly a reason to ‘invent’ such lists to provide legitimacy for the rulers of Israel and Judah). *As I already touched upon, that difference of only a few decades is using a specific version of the Bible, such as the Masoretic text or the Septuagint. The differences between those different versions can add up to a couple millennia, though still not anywhere near on the magnitude of real history.",yes
"Should creationism be taught in public schools as an alternative to evolution, given its religious roots, or does doing so infringe upon the separation of church and state? There are two aspects of this answer. First, of course teaching creationism in public schools violates the separation of church and state in the U.S. This has repeatedly been the interpretation of courts, from Epperson v. Arkansas back in 1968 to the more recent Kitzmiller v. Dover Area School District in 2005 (Ten Major Court Cases about Evolution and Creationism). But that's only a legal technicality. What if we didn't have the First Amendment, or lived in a different country that didn't enshrine the separation of church and state? Well, then we have the much more fundamental issue that creationism is wrong. I don't think many people realize that creationism was the dominant scientific paradigm prior to Darwin. Some naturalists may have toyed with ideas of 'transmutation', but they were largely seen as fringe eccentrics. At best, some naturalists were more in line with certain modern day creationists who concede evolution within 'kinds', but not universal common descent. It was the plausible theory and especially the evidence that Darwin presented in The Origin that basically convinced the scientific community practically overnight to accept evolution over creationism. In other words, those naturalists didn't reject creationism because they were a priori opposed to it, but because the evidence conclusively favored evolution over creationism. And in the 150+ years since then, the evidence for evolution has only grown even more overwhelming. So yes, teaching creationism in public schools in the U.S. would violate the Establishment Clause of the First Amendment. But even more importantly, creationism is factually incorrect and not good science, so why would you want to teach it to our children in the first place?",yes
"Why do people say they believe science over God when science keeps changing what it says it’s proved and God has not changed? What do you mean that God hasn't changed? He's changed quite a bit over the millennia as the mythology developed. Since you're using capital-G for God, I assume you're referring to the God of the Bible, Yahweh (YHWH). While Yahweh's earliest origins are a bit obscure (and understandably so, since we're talking about something thousands of years ago), the leading idea seems to be the Midianite hypothesis, where Yahweh was originally a god worshipped by the peoples of Midian, the region to the south of Canaan. The early Israelites and Judahites, who were themselves basically just a subset of Canaanite culture at the time, absorbed this god into their pantheon while they still had a polytheistic pantheon. Of course, not all scholars agree with the Midianite hypothesis, and there are plenty of other origins ideas, including that Yahweh was more of a 'home grown' deity within Israel/Judah. On this topic of the earliest origins of Yahweh, the perhaps oldest known records of belief in this particular deity are a couple of inscriptions from Egypt – one from the period of Amenhotep III (14th century BCE), the other from Ramesses II (13th century BCE). In describing a certain group of people, both inscriptions use a phrase translated as something like ""The Land of the Shasu yhw"" or ""Shasu of Yhw"". Assuming that Yhw is the same god as YHWH, and that modern ideas of the Shasu being nomads of the region south of Canaan are correct, this seems to support the Midianite hypothesis for Yahweh's origins (though it should be noted, some people think the transfer went the other way around, with the Shasu adopting Yahweh from the Israelites). ABOVE: The inscription describing Shasu of Yhw SOURCE: Shasu - Wikipedia At any rate, no matter how Yahweh first entered the Israelite pantheon, his earliest appearances in Israelite religion were as just one god among many, and not even the most important. I've already discussed Deuteronomy 32:8–9 several times here on Quora, which clearly shows Yahweh as one of the sons of El, receiving Israel as his particular land to rule over, while other sons of El received different lands (more info: Jeff Lewis's answer to Can atheists prove there's no God, since they don't believe in His existence? in Divine Atheist). The earliest writings about Yahweh in the Bible also seem to present him as a storm god and god of war. The New Oxford Annotated Bible is an excellent resource, with very informative essays and copious footnotes from Biblical scholars. They mention this association with a storm god in several footnotes. For example, here was the footnote in reference to 2 Samuel 22:11–16: The LORD is depicted here as the storm God. Cherub (v. 11 ), a mythical, griffin‐like creature. God's voice (v. 14 ) is thunder (Job 40.9; Ps 29.3 ), and he throws lightning bolts at his enemies (v. 15 ). The psalmist envisions the world as flat; he is trapped in the underworld beneath the foundations of the world, which the LORD's roar uncovers (v. 16 ). Other footnotes made reference to ""God's storm-cloud chariot"" several places, including for Psalm 68:4 (""Who rides upon the clouds, God's storm‐cloud chariot (v. 33; Ps 65.11 )"") and for Psalm 65:11 (""Your wagon tracks, God's rain‐cloud chariot.""). Personally, reading the Bible on my own, I thought Psalm 77:16–20 was especially in line with those early conceptions of Yahweh as a storm god: When the waters saw you, O God, when the waters saw you, they were afraid; the very deep trembled. The clouds poured out water; the skies thundered; your arrows flashed on every side. The crash of your thunder was in the whirlwind; your lightnings lit up the world; the earth trembled and shook. Your way was through the sea, your path, through the mighty waters; yet your footprints were unseen. From those origins, Yahweh went through a transformation within the religion, gradually blending with El to become the primary and most important God of Israel, then through a stage where he was the only God that the Israelites were supposed to worship, though not yet the only god in existence, before the eventual transformation to full monotheism some time around the Babylonian exile. I have another answer where I discussed archaeological finds from during this transition which covers these next two examples in much more detail (Jeff Lewis's answer to Atheists, what are your top 5 reasons for not believing in God and/or Christianity? Please answer with something besides ""No proof"". in Atheism Now). First is the Mesha Stele, which recounts the same battle as told in 2 Kings 3, but from the point of view of King Mesha of Moab, and is actually older than the Biblical narrative. This stele shows how the Israelites were likely still worshipping more than one god (""the fire-hearth of Daudoh""), and that even their worship of Yahweh hadn't yet been centralized to the Temple of Jerusalem, contradicting the Biblical narrative. The second is the Kuntillet Ajrud inscriptions, showing that Yahweh had a wife or consort at the time, the goddess Asherat. And like the Mesha stele, these inscriptions also contradict the Biblical narrative of a centralized worship at the Temple of Jerusalem. And of course, the character of Yahweh continued to develop and change over the generations, including the rise of Rabbinic Judaism after the destruction of the Second Temple, Christianity and it's updates in their scriptures, Islam and their updates, continued revisions in various sects over the years such as the Protestant-Catholic schism, and even more modern updates like Mormons and Jehovah's Witnesses. So in contrast to your implication, Yahweh has changed very much over the generations, from a storm god within a polytheistic pantheon, to the multiple conflicting conceptions of God among modern day Jews, Christians, and Muslims, and all the varying sects within those major branches. God seems to bear all the hallmarks of a mythological character who develops along with the culture of those folks who believe in him. As to the other part of your question, trust in science hardly even deserves a detailed explanation. But just to completely answer your question, here's an excerpt from my self-published book on religion (God? Leaving Christianity | jefflewis.net): One reason to be confident in the scientific process is pragmatic – just look at the results. Science as the formalized discipline that we think of has only been around a few hundred years, getting started in the Renaissance, but not really coming into its own until after the Enlightenment. And look at how fast our technology has progressed in that short time compared to the previous millennia of human existence. We’ve invented telescopes, steam engines, automobiles, semiconductors, airplanes, computers, TVs, radio, lasers, vaccines, antibiotics, cures for some cancers. We’ve sent people to the moon. These accomplishments are all based on knowledge that we’ve learned through science. We wouldn’t have been able to accomplish all of that if we didn’t have an accurate understanding of reality. Granted, there are other fields of science that haven’t yielded practical applications, and possibly never will. The Big Bang may not ever give us any new technologies. But given the technologies we have developed from so many other fields, we know that the methods produce reliable results.",yes
"How can I actually eat good to lose fat and get muscle? Because what I eat is a lot of both healthy and unhealthy. Like I might have some furit and eggs then like a pizza. Or have a salad then chip. How do I not overindulge and actually lose weight? I was about to write a long answer about how I managed this for myself, but then I noticed from other questions on your profile that you're only 13 years old, and that you've written many questions along these lines. So my advice at this stage in your life is to talk to your doctor at your next checkup and ask them about your weight and physique, rather than asking for advice from strangers on the Internet. The Internet is full of dangerous health advice along with the good health advice, and it can be difficult even for adults with years of experience to figure out which is which. And I don't mean this to be condescending, but as a 13 year old, still in the midst of school and with limited life experience, navigating this topic is going to be even more difficult for you, not to mention all the different considerations of development you're going through right now that adults no longer have to worry about. So talk to your doctor. They have the knowledge and expertise to give you good advice.",no
"What percents of people do and don’t support abortion? Support varies by trimester. Here are the results of an AP-NORC poll from 2021: SOURCE: AP-NORC poll: Most say restrict abortion after 1st trimester In the first trimester, 61% of folks in the U.S. support keeping abortion legal in all or most cases, while only 38% want to see it illegal in all or most cases. However, as the pregnancy progresses, support for the legality of abortion drops. In the second trimester, only 34% of people want to see abortion remain legal in all or most cases. While in the third trimester, a mere 19% want the same thing.",no
"Can a Republican ever win the presidency again without some kind of a reset? Anyone remember headlines like these from 2008, when Obama had a strong victory and Democrats won a majority in the House and a supermajority in the Senate? Well, it only took until 2010 for the Republicans to win back control of the House, which they held onto for 8 more years until the 2018 election. And while Obama did manage to win re-election in 2012, I think we all remember what happened in 2016. And even in 2020, Trump only lost thanks to about 40 thousand voters in 3 key swing states. Even this year, 538 is currently giving Trump a 40% chance of winning the election, which is barely worse than a coin toss. That's just the nature of our two party system and polarized politics. The Democratic and Republican candidates will always get roughly half the vote. And with the way the electoral college currently biases the results towards rural states that tend to favor Republicans, presidential elections in particular will remain competitive, even when Democrats might have a nationwide advantage in raw numbers. So yes, the Republicans still have a very good chance of winning the presidency even maintaining their current strategies. They have a very good chance of winning this year. So don't get complacent like 2016, thinking a Democratic victory is a sure thing. Everybody needs to get out and vote to make sure their voice is heard.",no
"How would one ""test God"" (which is forbidden by The Bible's Deuteronomy 6:16)? Well, I think the Bible has already set the precedent for us in 1 Kings 18: 21 Elijah then came near to all the people and said, “How long will you go limping with two different opinions? If the Lord is God, follow him, but if Baal, then follow him.” The people did not answer him a word. 22 Then Elijah said to the people, “I, even I only, am left a prophet of the Lord, but Baal’s prophets number four hundred fifty. 23 Let two bulls be given to us; let them choose one bull for themselves, cut it in pieces, and lay it on the wood but put no fire to it; I will prepare the other bull and lay it on the wood but put no fire to it. 24 Then you call on the name of your god, and I will call on the name of the Lord; the god who answers by fire is indeed God.” And of course, when the prophets of Baal tried praying to their god, nothing happened. Then it was Elijah's turn to pray to his god, Yawheh. Elijah even showed off a bit by soaking his wood pile with water before praying. And then… 38 Then the fire of the Lord fell and consumed the burnt offering, the wood, the stones, and the dust and even licked up the water that was in the trench. 39 When all the people saw it, they fell on their faces and said, “The Lord indeed is God; the Lord indeed is God.” You can probably leave the steaks out of it. But just replicate Elijah's demonstration. God seemed perfectly willing and content to demonstrate his power a few thousand years ago. Why would he all of a sudden turn shy, now? Heck, he even performed this miracle in front of a bunch of skeptics, so it couldn't be anything about only revealing himself to people who were already believers and already had faith. Unless, of course, it's easy to tell tall tales about ancient history that can no longer be fact checked, but you need some excuse like Deuteronomy 6:16 to explain why these tall tales never seem to happen today*. *And yes, even back in Biblical times, they had their rose colored glass for their ‘good old days’, just like we do now. Remember, ‘Biblical times’ covers centuries. The oldest stories would have seemed ancient even to the folks living in the later periods of ‘Biblical times’. So Deuteronomy 6:16 was a convenient excuse even back then.",yes
"Why would anyone buy a hamburger at McDonald's when there are other hamburger places with better quality hamburgers at the same or lower prices? I challenge your premise. Let's go with prices, first. Here are the prices of fast food cheeseburgers at the fast food places I go to most often for burgers*, in my order of preference. I listed the bacon cheeseburgers at the other places, because while I get a plain cheeseburger at McDonald's, I usually go for the bacon cheeseburger at the other places (with the McDonald's cheeseburger being so minimalist with toppings, the salt in the patty and pickles is plenty, whereas the other burgers need the bacon to balance the lettuce and tomato). McDonald's has by far the cheapest cheeseburger. Granted, it's also the smallest. But it's still plenty of calories for a normal lunch. And if I'm extra hungry, I can get two, and it would still be cheaper than the other options. As far as flavor, McDonald's is my favorite out of the fast food places. There's just something about the McDonald's burger that hits just right, the perfect combination of those minimalist ingredients. I've said this before, but the other fast food places are trying to be like something I'd make on the backyard grill, and often not quite succeeding, while McDonald's is just doing its own thing. If I'm in the mood for a bunch of toppings, I might go to one of those other places (Whataburger is great at 2 am). But when I'm in the mood for a McDonald's cheeseburger, nothing else really matches it. If I've got a bit more time to sit down instead of going through a drive through, then I've got more options besides fast food. A local place called Pat's Drive In is probably my favorite restaurant burger in town ($4.79 for a cheeseburger), followed by a very small chain, Bricktown Brewery ($10.50 for a burger, but fries are included – and I can get a beer to go with it). So, out of fast food places, McDonald's does have my favorite burger, and it's the cheapest, to boot. It makes it the obvious choice when I'm in the mood for a fast food burger. *When I go to other fast food places, I tend to get chicken sandwiches, not burgers. e.g. Jack in the Box, Wendy's, etc. And since I live in a small town, we don't have some of the other national chains (though I've found a few of those to be overrated when I have tried them while traveling, e.g. In-n-Out – their burgers are fine, but their fries kinda suck). I guess I'll also briefly mention the fast-casual burger joint, Five Guys (not that there are any local after ours shut down, but looking down at the DFW area). They are pretty good, but damn are they expensive. A bacon cheeseburger is $12.69. Add a small fries and a drink, and the whole meal is up to $22.81. If I went to Bricktown Brewery, for that price I'd get a couple beers to go with my burger and fries. Five Guys is good, but it ain't that good.",no
"What do you think about TV Land's warnings for 1960-70s episodes of ""Bonanza"" and ""Gunsmoke"" that say ""this program contains outdated cultural depictions. Viewer discretion is advised."" Do you think this is necessary? First off, this question hits one of my pet peeves – using the word 'necessary' without any context, implying that 'necessary' is some intrinsic property all on its own. It isn't. Just about every time this word is used, it's in relation to a specific outcome. For example, are fermentable sugar and yeast necessary ingredients? Yes if you're making beer or bread. Not so much if you're grilling a steak. Considering that TV itself isn't a necessity, hardly anything around the medium is necessary in any universal sense. It all depends on what outcomes you want. So, if you're asking if these disclaimers are necessary – necessary for what? If you wanted to be cynical, you could say that the purpose of these disclaimers is merely a way to silence the busybodies with a token message that only lasts a few seconds, that most viewers will forget about almost as soon as the action starts. The network can still show controversial or 'problematic' content essentially unaltered, retaining most of the audience that enjoys those shows (and their associated advertising dollars). The networks have balanced the conflicting influences of alienating more politically correct viewers to losing more old fashioned viewers, and figured these disclaimers were the best compromise. It's the free market at work. If you want to be more charitable about their motivations, such disclaimers do play at least a small part in consciousness raising. It may only be a short message, but at least it's putting it in people's heads that these depictions may not be so benign. And so when they do watch these shows, they're not just uncritically accepting such depictions as right or normal. I think this is especially true when it comes to kids watching TV. I know, some folks like to say that parents should be aware of all the media their children are consuming. That's a bit unrealistic, not to mention a bit questionable advice in its own right. Such constant supervision has taken on its own derogatory term these days – helicopter parenting. On the other extreme, you have folks fondly remembering the 'good old days', when kids roamed their neighborhoods unsupervised for hours on end (and believe me, even back then, we found parents' stashes of 'questionable' media hidden in boxes in the attic). Ideal parenting is somewhere in between – a balance of oversight and child independence, where parents have a general idea of what their kids are up to, but not necessarily screening each and every TV show their kids are going to watch. And in this context, such disclaimers are important in the consciousness raising of children, who don't have the background and experience to fully understand such shows like adults. So yes. I think these disclaimers serve a purpose. They help in the consciousness raising of both nostalgic older viewers and younger first time viewers. And considering that it's such a short message and that the shows themselves are unaltered, it seems that it's only the most easily offended who get worked up about these disclaimers, anyway.",no
"If “burger” now includes fish and chicken sandwiches instead of only ground meat patties, what is the boundary between burgers and other sandwiches? In American English, 'burger' on its own most certainly refers to a ground beef patty on a bun. You can stretch the definition a bit by adding a description of some other ingredient besides beef, such as a chicken burger or a veggie burger, but the implication is that it's still a ground food of some sort formed into a patty. For example, this is a chicken burger. Note the ground chicken formed into a patty: ABOVE SOURCE: Natasha's Chicken Burgers While this, since it contains a whole piece of chicken that's been breaded and fried, is a chicken sandwich: ABOVE SOURCE: The OG Chick-Fil-A Sandwich Where you can run into a bit of a gray area is a ground beef patty that's not on a bun. If you put the patty in between two slices of grilled bread with cheese, then it's a patty melt. And then it's just a question of semantics as to whether or not you think a patty melt is a type of burger or something separate. The article I copied that image from does refer to it as a specific type of burger, and I tend to agree since the defining feature of a hamburger (with it’s origins from a Hamburg steak) is the ground beef patty. ABOVE SOURCE: This Is Why Whataburger Patty Melts Are So Delicious - Mashed Yes, I know that in some other countries, practically anything on a bun is referred to as a burger. I was a bit surprised (and relieved) one time going to a get together with my German friends, when they said they were going to make chicken burgers, but they were actually making what I would call chicken sandwiches. So to answer your question, in American English, the boundary between a burger and other sandwiches is using a ground meat (or veggie) patty. No patty – no burger.",no
