Input,Result
"What is the most promising propulsion technology for theoretical manned Interstellar travel? What percentage of the speed of light could be theoretically reached? If I had to bet, I’d bet on the Bussard ramjet. Yes, I know it that there were studies questioning its feasibility. I read some of them. Still. The reason? It is the only approach I know of that a) does not rely on exotic physics, and b) does not require a spacecraft to carry absolutely insane quantities of propellant. A Bussard ramjet works by collecting interstellar hydrogen using a large, very powerful magnetic field, and then burning that hydrogen in a fusion engine. As such, a Bussard ramjet does not have a theoretical limit as to how close it can get to the vacuum speed of light, as it can accelerate forever. Much as I enjoy Star Trek, I am not keen on the concept of warp drives in the real universe. I mean, they look great on paper as theoretical solutions of Einstein’s field equations, but hey, I can also have theoretical solutions that involve closed timelike curves, and I have yet to meet Dr. Who with his lovely TARDIS. There is a world of a difference between building a mathematical construct of a universe that may be consistent with Einstein’s field equations, vs. taking this, one-and-only, universe in which we live, with ordinary matter in it, and bring that matter together in a configuration that creates a “warp field”. Call me small-minded but I do not think that is possible; not because of limits of technology, simply because warp drives, just like time machines, don’t exist in this universe. Same goes (even more so) for wormholes and other exotic solutions. What about super-efficient rockets? There we have a problem. Even if we have a maximum efficiency photon rocket powered by matter-antimatter annihilation, we still need absolutely insane quantities of fuel to accelerate a given spaceship to relativistic speeds. The rocket equation stands in our way: soon, when we calculate a round trip to a distant star, which we would like to execute within the lifetime of a human astronaut, we find that to accelerate our, say, 100-ton spaceship to the requisite speeds requires megatons of fuel. Do we really want to sit on top of megatons of antimatter, even if we knew how to manufacture antimatter in quantity, which we don’t? Is that ever going to be practical? And even if it is, once that spaceship runs out of fuel, it’s dead in space… whereas our Bussard ramjet only needs a small amount of residual fuel to be started, and then it starts collecting its own fuel again, with increasing efficiency as it accelerates. Of course things can change. New technologies may be invented. There may be new breakthroughs in theoretical physics that completely change its landscape. But in the here and now, I consider the ramjet the most promising approach, despite the spectacular technical challenges that might stand in its way. I don’t often use Quora’s AI-generated images anymore, but I admit I like this one. Nice ship! If you find my posts useful, please consider supporting my efforts.",yes
"I always read Victor Toth that the singularity is a moment in the future, not a point in place. What will happen to an observer falling into a black hole as he sees it for himself? Will he be crushed? To observers outside the event horizon of a black hole, never mind the singularity, the event horizon itself remains forever in the future, hidden from view by infinite time dilation. The way to think about it… imagine particles collapsing toward each other, accelerated by their mutual gravity. If no force pushes them back, eventually they would form a black hole. But when? Now imagine that these are not ordinary particles, but each and every one of them is a miniature spaceship equipped with a very powerful rocket. And suppose that each of these particles has a mind of its own. As they fall toward each other, perhaps one of the particles changes its mind at the last minute, last second, last picosecond, turns on its rocket and escapes. The point is, to you, the outside observer that last minute, last second, last picosecond might be the next day, the next year, the next five hundred trillion years. No matter how far into the future you go, you can never exclude the possibility that one of the infalling particles re-emerges, because in your reference frame, the event horizon has not yet formed! But you are asking what would happen to an infalling observer. Take one of those particles that is falling into the black hole. Let’s call this particle the observer. What would it see? Well, for starters, it’s surrounded by other particles, and above it, perhaps it still sees a clear view of space, with the distant stars. But the closer it gets to where the event horizon will form, the less sky it sees, because light from neighboring particles, even when it sets off in an almost vertical direction, would curve back down. The view “up” would become an ever narrower “tunnel”, until the tunnel disappears altogether, and the observer is just surrounded by other particles in all directions above and below. This happens at the moment the observer crosses the event horizon. When we look at the spacetime that this observer now finds itself in, it is actually much like the spacetime of cosmology: filled with matter (infalling particles) everywhere. From the observer’s viewpoint it will not be homogeneous (same everywhere) or isotropic (same in all directions) but that’s because the observer itself moves relative to the bulk of other particles. If the observer were to changes its trajectory, it might find itself in a homogeneous, isotropic, and collapsing mini-universe. Even without the trajectory change, it’s still a collapsing mini-universe, just not homogeneous and isotropic from the observer’s perspective. And the observer is doomed. This mini-universe only has a finite lifetime. It collapses, its density and temperature increasing beyond limit. The asymptotic final state is the singularity: a future, terminal moment in time that is not actually even part of this mini-universe. The existence of this mini-universe ends at that moment (it is “geodesically incomplete”). At least this is the case if the mini-universe has no net rotation. If it rotates, things get weirder and perhaps the observer might even avoid a terminal moment. We don’t really know: There have been several attempts to describe the interior of a rotating black hole solution, but no good solutions have been found, as far as I know. Anyhow, the important thing to remember is that relativity is about what different observers see. The singularity may be an unavoidable destiny for an infalling observer who has only a very short amount of time left, but to an observer outside the event horizon, it remains forever in the future. If you find my posts useful, please consider supporting my efforts.",yes
"Why is it challenging to comprehend quantum mechanics? Can we simply accept Einstein's perspective on reality instead of the concept of uncertainty? Why is it challenging for a language model like GPT-4 to reason about geometry? The answer is simple: It doesn’t have the hardware to visualize geometry. It is forced to reason it out, step-by-step, in a process that is prone to mistakes. Our problem with quantum physics is similar. Our brain has wonderful hardware to visualize and intuit things in a classical universe. A universe in which quantum effects are averaged out, so what remains is basically geometry. And unlike GPT-4, our brain is wired to visualize geometry. But Nature doesn’t care. Nature doesn’t care about Einstein’s perspective either. The quantum world works differently, and our brains are not wired to intuit it. So like GPT-4 when it tries to reason about geometry, we have to do it step-by-step, in an error-prone, difficult process. Mind you, some of our attempts to “make sense” of quantum mechanics only made it worse, and personally, I list the Copenhagen interpretation of quantum mechanics among these. According to the Copenhagen interpretation, the present does not fully determine the state of a quantum system. This state is represented by a wavefunction that can be interpreted as a probability amplitude, which can be used to compute probabilities, but not certainties, when it comes to the outcome of future observations. Then, the act of observation, or “measurement” somehow magically “collapses” the wavefunction in a process that is not included in the equations of quantum physics; this collapse is instantaneous and applies everywhere even retroactively, as we replace one wavefunction with a different one. As to what a “measurement” is, and whether or not it can be done by an instrument, a cat, or if it requires a human, the Copenhagen interpretation remains silent about. Einstein was right in my view to be unsatisfied about this line of reasoning and the fact that it described the universe as fundamentally probabilistic. Unfortunately, he did not live long enough to see Bell’s theorem, which demonstrated beyond doubt that quantum physics is fundamentally nonlocal: that measurements are correlated even when they are so separated that no signal can pass between them, and that this correlation cannot be explained by “hidden variables” that the quantum system carries. If we fully embrace this nonlocality, all that probability stuff becomes unnecessary: The act of a future observation, the fact that the quantum system in the future is confined to an interaction with a camera, a cat or a human, constrains its wavefunction in the presence. No “collapse” needed and best of all, this nonlocality does not even violate causality: Much as we’d like to do so, it is not possible to use it to send signals from the future to the past. The constraints on the wavefunction imposed by its future interactions do not lead to observable consequences in the present. I have a feeling that Einstein would have embraced this direction. Alas, he died some nine years before Bell published his result. In any case, Bell’s theorem notwithstanding, quantum physics remains impossible to make sense of using our classical intuition. We need to do it the hard way, work it out, step-by-step, using the power of reason (expressed using the language of mathematics) as we lack the brain hardware to “see” quantum physics. Any attempt to “make sense” of quantum physics using our classical intuition is not only doomed to fail, it becomes an obstacle to understanding since quantum physics is manifestly not classical. If you find my posts useful, please consider supporting my efforts.",yes
"Can antimatter be considered as ""visible matter"" because it can interact with light even though it has the opposite charge of normal matter? Absolutely. In the context of cosmological physics, matter and antimatter are both “ordinary”, visible matter, made up of particles that interact with each other and with the electromagnetic field. Dark matter does not interact with the electromagnetic field (or if it does, it does so very, very, very weakly) and does not interact with normal matter (which includes antimatter). We don’t know what dark matter is (we cannot even be sure that it exists) but if there is such a thing, this is its defining characteristic. In contrast, antimatter very much interacts with normal matter. So much so, that this is how we know that even distant regions of the visible universe are dominated by normal matter, not antimatter. How do we know? Matter is everywhere, there are hydrogen atoms even in intergalactic space. If there were, e.g., distant galaxy clusters made of antimatter, the boundary region between antimatter and normal matter regions would “glow” in the gamma ray part of the spectrum from the occasional matter-antimatter interactions. Granted, in the very low density intergalactic medium, such collisions would be infrequent, but on the other hand, the volumes are ginormous, and the resulting gamma ray background would be observable.",no
"If a human somehow managed to travel to the Sagittarius A* black hole, would they see exactly what the 2022 image shows us? Absolutely not unless their “eyes” are radio antennas. The images of Sgr A* are synthesized from radio astronomy observations. What they do show is a faint radio background from the accretion disk of Sgr A*, and on it, superimposed the “shadow” cast by the black hole’s photon sphere (the region around the black hole where gravity is powerful enough to force photons into unstable orbits). The published images are basically computer reconstructions based on a large number of observations made by a global network of radio telescopes. The reconstructions are also somewhat model-dependent: the images are reconstructed on the assumption that they came from an astrophysical black hole, whereas other models are shown the fit the data much less accurately. If you were to be close enough to Sgr A* to view it directly (naked eye or through a telescope), you might see something similar if there is a light source behind the black hole. That is to say, if the accretion disk emits sufficient amounts of visible light, you might see a similar shadow in the center, and for the same reason. But the appearance would be different, not to mention the color: the orange-ish color shown in the published images has nothing to do with physics (again, the actual observation was done by way of radio waves, not visible light), it’s basically an artistic choice. I try to avoid adding AI-generated images to my answers as, well, let’s face it, someone called them inane and they were not wrong. But I like this one. The AI must have “seen” the published Sgr A* images since it produced an image in the sky that bears some similarity in color and appearance. But what caught my eye is that field of… what are these, space poppies in the foreground? So, while begging the forgiveness of those who are not impressed by semi-relevant AI-generated imagery, allow me to indulge this time and keep this one. If you find my posts useful, please consider supporting my efforts.",yes
"Dear Viktor Toth, with respect to your answer on the expression of the weak force, could you please correct the second equation? The first one for V(r) is right, but the second seems to have a typo, so that it is not displayed. If you mean this answer, it looks fine from my end. No typos:",yes
"How is the speed of light considered constant in all frames despite the effects of gravitational and inertial time dilation? Distinguish between local measurements vs. measurements made from a distance. Suppose a photon zings by and you measure its speed: It’s 299,792,458 m/s. Other observers, at the same place where you are and at the same time, measuring the same photon, will measure the same speed even if those other observers are moving relative to you. However, when you look at distant photons, the situation changes. What you observe is subject to relativistic effects such as length contraction and time dilation. The speed you deduce can be anything. If you are on the surface of a neutron star and measure events far from that neutron star, you’ll see things unfold rapidly, as if you viewed them in fast forward mode. Conversely, if you are floating in deep space and check what happens on the surface of that neutron star, things will appear painfully slow, including photons. But even in these cases, as you look at those distant locations, if there are observers there with clocks and meter sticks, you will be able to verify that according to those clocks and meter sticks, co-located with the photon, light still travels at 299,792,458 m/s, always, so long as it’s a vacuum outside. If you find my posts useful, please consider supporting my efforts.",yes
"What are tensors (as used in special/general relativity) exactly? Oh my, this is a hard question to answer... at least in a form suitable for a Quora answer. Let me try to keep it as simple as possible, which means necessarily skipping over some details, but still. You know what vectors are, right? Basically, quantities that have a magnitude and a direction. You may have learned to form inner products of vectors, but that's a misleading notion on its own right. The inner product is formed between a vector and a ""covector"". One way to think about it, perhaps, is that whereas a vector may be measuring a length and a direction, a covector is measuring the change of something along that length. So whereas vectors are measured using, say, meters or feet, covectors are measured using ""inverse"" units of length, i.e., meters or feet are now in the denominator. So say, a vector measures a length in a certain direction as 1 meter. Or 100 centimeters. Someone says that they have distributed marbles with a density of 10 marbles per meter. Or 0.1 marbles per centimeter. So now you form an inner product... between a 1-meter vector and the marble density of 10 marbles per meter. Multiply the two, and you get 10 marbles. Change the coordinate system from meters to centimeters: Now you have a 100-cm vector and 0.1 marbles per cm. Multiply the two and... again you get 10 marbles! The inner product between a vector and a covector yields a ""scalar"", a pure number that does not depend on the choice of coordinate system. This is important. So then, we can actually ""define"" a covector as the thing that maps a vector into a scalar by applying the inner product. What do you call a thing that maps not one but two vectors into a scalar? Wait, two vectors? Why would we want to do that? Well, how about characterizing how a force works on a surface. The force is a vector. The surface, a small surface element that is, can be characterized by a vector: its ""normal"" vector indicating its orientation and size. In continuum mechanics, we look at surface elements and the force acting on them. That force can be present due to pressure and stresses in the material. The point is, we need to relate these two vectors together... and the relationship is accomplished by introducing a thing called the ""stress tensor"", which can basically form an inner product with this pair of vectors. This also happens to be one of the earliest (early 19th century!) applications of tensors in physics. And this then allows us to generalize. If a covector maps a vector into a scalar, a covariant rank-N tensor can map N vectors into a scalar. Conversely, a vector can map a covector into a scalar; so a contravariant rank-N tensor can map N covectors into a scalar. And it is then easy to form ""mixed index"" tensors that map a collection of, say, N vectors and K covectors into a scalar. That's what tensors do: establish a relationship between vectors and covectors, mapping them into scalar quantities that do not depend on the choice of coordinate system in which the vectors are measured or expressed. Rank-2 tensors can be easily represented using matrices (though technically, it's only the rank-2 mixed index tensors, which map one vector and one covector into a scalar, that should be written as such, rows corresponding to the covariant, columns to the contravariant features of the tensor.) Higher-rank tensors are not that easy to represent as they require either multiple matrices or higher-domensional (cubic, etc.) structures which are not easy to put on paper. One of the wonderful things about tensors, however, is that they allow us to talk about physics without picking a specific coordinate system! If a vector V and a covector U form a scalar, say, V ⋅ U = 1 , that equation remains valid regardless of the coordinate system chosen. This allows us to distinguish physics (the actual things) from mathematics (the representation of those things) very cleanly. Going back to the inner product, we can of course calculate the inner product between two vectors if we have a corresponding rank-2 covariant tensor that we use to map the pair of vectors into a number. The ""metric tensor"" does this. The number, in this case, may be the length of the small difference between two near-identical vectors. This turns out to be an effective measure of the intrinsic geometry of the plane, of space, of spacetime. Normally, this ""metric tensor"" is just a generalization of the Pythagorean rule to calculate distances. But things get more complicated in general relativity, where the geometry of spacetime varies from place to place. So say, take a vector. Displace it so that it moves a tiny distance away, following a closed path, arriving back at its point of origin. So now you have a second vector (the direction of the displacement); a third vector (the direction the displaced vector follows when it arrives back at the point of origin); and a fourth vector (the final vector after arrival). The first and the fourth vector would be identical in Euclidean space. They are not in general relativity. The rank-4 tensor that relates these four vectors is the ""Riemann curvature tensor"", its value changing from point to point reflecting changing curvature. The relationship between this curvature tensor and the presence of matter amounts to the fundamental statement of general relativity, in the form of Einstein's field equations. Well, that's the gist of it. As I said, I glossed over many details. But hopefully at least it's a meaningful glimpse of the role of tensors in physics, relativity theory in particular. If you find my posts useful, please consider supporting my efforts.",no
"Can a black hole at its center be destroyed? If so, what would be the method to do so? Would the intense gravity make it impossible to escape and cause any damage? Let me describe to you an imaginary journey into a classical black hole. (""Classical"" in the sense that I am ignoring quantum effects, notably Hawking radiation, which might even prevent the black hole from forming in the first place. So let's say that you are not only in a very good spaceship, but you are also almost imprevious to extreme acceleration and extreme tidal forces. You hope into your spaceship, travel to the nearest collapsing sphere of matter that will ultimately form a black hole, and choose a trajectory that will end up in the black hole as well. If the collapsing matter has negligible pressure, its collapse will not be slowed down by any means. Yet to those on the outside, the process of the collapse will appear to slow as the cloud gets close to becoming a black hole. That is because of extreme gravitational time dilation: anything that happens near this collapsing cloud of matter will appear in slow motion to anyone far away. Not to you though. You will find that you will approach the surface of this collapsing cloud, but you won't quite be able to catch up with it. Meanwhile, however, as the gravitational field gets stronger, you will notice that what was a spherical surface below now appears to ""curl up"" on the sides. That is because of the gravitational deflection of light: many light rays that start off going upward will be bent downward, so they will appear to hit your eyeball from above! What was one a surface below begins to form a wall around you, and soon enough, it will feel like you are in a vertical tunnel, or well, its opening rapidly closing above you. Suppose you chicken out at the very last split second, punch a button, and with your Extremely Powerful Rocket [tm] you escape. Much to your surprise, you'll find that what has taken only a few seconds by your reckoning took a year outside. Or a thousand years. Or a quintillion years. This is why those on the outside can never be sure that the black hole even forms; no matter how long they wait, there's a chance that you re-emerge. It's only a question of how close you cut it before punching out. But what if you don't? Well, there will be a moment when the matter above your head closes up. There is no opening anymore. No walls really, either, as this is also the moment when you caught up with all the collapsing matter after all, so now you are inside the cloud. Inside a homogeneous (same everywhere) isotropic (no preferred direction) cloud of matter that forms a collapsing mini-universe, in which you are trapped. The moment when this happened is the event horizon. NOT a place. Not a location to which you can return. A moment — now a moment in the past — of time. So without a time machine, you are doomed. This mini-universe is a collapsing universe, the exact opposite of the kind of universe we seem to live in, outside of the black hole. Second by second, minute by minute it becomes denser. (Or millisecond by millisecond, if the collapsing cloud weighed ""only"" as much as, say, three times the mass of our Sun, or a million times the mass of the Earth.) Did I say same everywhere? Yes, I did. I meant it. There is no center, no edge of this cloud. This entire self-enclosed mini-universe is filled with matter everywhere. And you have very little time left. And perhaps that's when you recall something that you may have heard before in the past: The so-called ""singularity"" is not some center either. Rather, it is the moment in time when density, pressure, temperature, etc., everything in this mini-universe diverges, becomes infinite. The mini-universe ceases to exist (it's called geodesic incompleteness). Along with you, of course. Think this scenario through and now contemplate if it is even meaningful to talk about ""destroying"" a black hole. What exactly would that ""destruction"" do? Remember, to those on the outside, the black hole does not even exist yet, no matter how long they wait. Whereas for those on the inside, the black hole is the ONLY thing that exists, and its fate is sealed: soon enough everything, including time itself (!) comes to an end in this doomed mini-universe.",yes
"What is the definition of observation in the double-slit interference experiment of light? Can the visual observation of intelligent creatures determine whether light is a particle or a wave? Intelligence has nothing to do with it. “Classical” has a lot to do with it. Let me explain. A “classical” entity: a human, a cat, a brick, a video camera, has well-defined states. A brick is either on the table or on the floor, never both. A human is either moving or standing still, never both. A cat is either alive or dead, never both. (Putting aside pointless philosophical musings about cats being, after all, “quantum” since they consist of a very large but finite number of uncorrelated quantum degrees of freedom… true, but for all practical intents and purposes, bricks, cats, etc., are classical. Any quantum behavior is averaged out to the extent that it vanishes.) A “quantum” entity is different. A quantum entity does not have a classically defined position or momentum. Rather, it has a state. That state, which may be described (depending on your mathematical preference) by a vector in an abstract space, or by a fancy wavefunction, can be used to calculate the probability of finding that quantum entity with a certain value for its position or momentum when it interacts with something classical. Let me explain how. What the equations actually tell us is that the state of the quantum entity evolves such that it is constrained by its past, present, and future interactions, including interactions with classical things such as bricks, cats or humans. Quantum physics is manifestly nonlocal (this is the essence of Bell’s famous theorem) so it is subject to constraints that can be arbitrarily far in space or time, yet curiously, somewhat counterintuitively, it remains causal (it is not possible to arrange the future to induce an observable influence on the past). A quantum entity is neither a particle nor a wave, it just displays behaviors of both under the right circumstances. The state of that quantum entity obeys a wave equation including the ability to exhibit interference patterns. But when a quantum entity interacts with a classical thing, the interaction may be localized, creating the appearance of something resembling a miniature cannonball, i.e., a particle. Concerning the double-slit experiment, the quantum entity may be a photon or an electron (so let me just call it an electron from now on), which is confined by three things: a) the location and time of emission; b) the slits; and c) the location and time of detection. These are the constraints that determine the wavefunction that characterizes this electron’s state. One possible interpretation, obviously inspired by the uncomfortable consequence of quantum nonlocality, namely that the location and time of detection is one of the constraints characterizing the system, is to take that constraint out of the picture initially. We then describe the state of an electron that is characterized by the location and time of emission, and the presence of the slits. The resulting wavefunction can be used as a probability amplitude, characterizing the probabilities of possible locations and times for the electron’s detection. When we actually do detect the electron, the picture changes: We now have a new wavefunction that is also constrained by the location and time of detection. This rather abrupt replacement of one wavefunction with another we call “wavefunction collapse”. Now it is true that this interpretation requires an intelligent creature, such as a human who prefers this probabilistic interpretation (the Copenhagen interpretation). But apart from some (not generally accepted) extensions of the quantum theory that treat wavefunction collapse as a physical process, the collapse is only a clumsy mental aid. It is a philosophical musing, not physical reality. In reality, that electron was always governed by a wavefunction subject to nonlocal constraints (again I stress, this is the fundamental essence of Bell’s theorem.) So to sum up, a quantum entity (photon, electron, etc.) is neither a particle nor a wave; its state is governed by a wave equation so it sometimes exhibits the consequences of wave-like behavior; its interactions may be highly localized, giving the impression of a particle; and intelligent observers have nothing to do with this unless we buy into the controversial concept of objective collapse (of the wavefunction), and perhaps not even then. If you find my posts useful, please consider supporting my efforts.",yes
