Input,Result
"Has Einstein's general relativity been proven by any experiments? Is it still considered a theory until proven by an experiment? First, let me clarify the meaning of the word, “theory”. Hint: It’s not about idle theorizing. Here’s the definition from the American Heritage Dictionary: theory (thê´e-rê, thîr´ê) noun plural theories 1. a. Systematically organized knowledge applicable in a relatively wide variety of circumstances, especially a system of assumptions, accepted principles, and rules of procedure devised to analyze, predict, or otherwise explain the nature or behavior of a specified set of phenomena. b. Such knowledge or such a system. I hope this clarifies the “still considered a theory” part. Yes, general relativity is (still) considered a theory, and it will remain a theory, but not because it lacks plenty of experimental and observational proof. In fact, when the theory was born, Einstein himself proposed “three classical tests” of general relativity: In addition to these three classical tests, Shapiro in the 1960s proposed a fourth: rays of light or, for that matter, radio waves, passing near a massive object like the Sun, would suffer a delay that is the combined effect of the light rays following a slightly curved path and also slowed down (as measured by us, distant observers in our reference frame) due to gravitational time dilation. This Shapiro delay has been confirmed numerous times using spacecraft, and has been used ever since the 1960s as a routine part of precision radio-navigation software codes navigating spacecraft in the solar system. Since then, we have had many more confirmations of the effects of general relativity. Folks often mention the GPS constellation, which of course would not work at the desired precision if we didn’t account for general relativistic correction. There have also been other experiments involving, e.g., clocks in orbiting spacecraft. Coming up to the present day, high-accuracy atomic clocks are sensitive enough to detect changes in the gravitational field due to a few ten centimeters or less of a change in altitude. Take two such clocks, one on the floor, one on a laboratory bench and right there, you can measure a key prediction of general relativity, gravitational time dilation. So the general theory of relativity represents well-established science, with robust experimental evidence supporting its predictions here in the solar system and in laboratory environments. Whether or not the theory will survive cosmological tests remains a bit of an open question: our persistent failure to detect dark matter and dark energy directly in numerous experiments probing different hypotheses for their existence, along with the existing issues that affect the standard cosmological model leave the door ever so slightly open to modified theories of gravitation that would predict deviations from Einstein’s theory on galactic and extragalactic scales. If you find my posts useful, please consider supporting my efforts.",no
"Can you explain the calculation for determining the time it takes for an object to fall into a black hole while traveling at the speed of light? First of all, you have to disabuse yourself of the notion that an object is traveling at a speed of… whatever. Speed is not an inherent property. The theory of relativity is called relativity for a reason: Speed is always relative. It is a relationship between two reference frames. So let us look at an hapless traveler falling into a black hole. What is that traveler’s speed? Well, as I just said, it is meaningless to speak of that traveler’s speed as an inherent property. The traveler’s speed depends on who is looking. OK, so we are looking. From some safe position outside the black hole’s event horizon. What do we see? Why, we see the traveler approach the place where the horizon will presumably form. Except that, the closer he gets to that place, the slower he appears to us, due to extreme gravitational time dilation. In fact, we literally (and I mean literally, not some figure-of-speech) never get to see the traveler actually reach the horizon. That moment — indeed, the moment when the horizon forms in the first place — remains for us forever in the future, due to extreme, runaway gravitational time dilation. And this is where we have a paradoxical situation. We know that the traveler reaches the vacuum speed of light at the horizon; that’s how black holes work. But from our perspective, the traveler’s speed actually drops to zero because of extreme gravitational time dilation! Well, guess what: in our reference frame, the speed of anything, including light itself, drops to zero at the horizon. Except that “the horizon” is not a place here and now, but a moment in time in our infinite future: Which is to say, we will see things slow down, slow down exponentially, but the moment when the horizon forms, the moment when all those speeds reach zero in our reference frame, will forever remain in our future. In fact, in our reference frame there is no meaningful way to describe the horizon or what’s “inside”. That’s why the darn thing is actually called a “horizon”! OK, what about the traveler’s perspective, then? Well, apart from increasing tides, he’d experience nothing special if he’s not looking out through the portholes of his spaceship. If the black hole is very, very large, tidal forces won’t be excessive even as he approaches, and crosses, the horizon. But he is doomed: he is now in a mini-universe that is collapsing around him, with no means of escape unless he has a time machine, because for him, the horizon has now become a moment of time in the past, and the only way to escape, to cross the horizon backwards, is by traveling into the past. In due course his mini-universe collapses and the world ends. The calculations are not elementary but not particularly hard either. The key equation is the so-called geodesic equation that describes freefalling trajectories. To model things from the traveler’s perspective, we need a coordinate system that covers both the interior and the exterior of the event horizon; one such coordinate system is called Kruskal—Szekeres coordinates. Whatever coordinate system we pick, we can calculate the “proper time”, i.e., the amount of time the traveler would measure, to reach the event horizon of the black hole and to reach the singularity (i.e., the “end of the world” for the mini-universe enclosed by the horizon.) Lastly, I hasten to add that this is classical relativity. Once we introduce quantum physics, things change, since black holes evaporate in finite time, so the traveler may never experience the horizon in the first place. But that’s a different story. Hmmm, another AI-generated image recommended by Quora that I happen to like. If you find my posts useful, please consider supporting my efforts.",yes
"Debroglie says wavelength is inversely proportional to velocity. But velocity is relative, and it is 0 in that particle’s resting frame of reference. So what does it mean for a particle to have infinite wavelength? Well, if you think of the de Broglie wavelength as a means to characterize how a particle moves, in the reference frame in which the particle is at rest, infinite wavelength (zero frequency) simply means that the particle is not moving. I know, it sounds kind of tautological, but that’s what it boils down to: no movement, no wave, zero frequency, hence infinite wavelength. Of course keep in mind that we’re not talking about a physical wave here. The wavelength here is simply a mathematical characterization of the amplitude of the particle’s wavefunction, which determines the probability density of finding the particle in a given state. Zero momentum means that the particle is not moving, but it can be with equal probability anywhere. This also follows from the uncertainty principle, since precise determination of a particle’s momentum means its position is completely indeterminate. You have to admire Quora’s image bot: it is certainly trying hard to generate images even for a topic as abstruse as this one. If you find my posts useful, please consider supporting my efforts.",yes
"Can antimatter be considered as ""visible matter"" because it can interact with light even though it has the opposite charge of normal matter? Absolutely. In the context of cosmological physics, matter and antimatter are both “ordinary”, visible matter, made up of particles that interact with each other and with the electromagnetic field. Dark matter does not interact with the electromagnetic field (or if it does, it does so very, very, very weakly) and does not interact with normal matter (which includes antimatter). We don’t know what dark matter is (we cannot even be sure that it exists) but if there is such a thing, this is its defining characteristic. In contrast, antimatter very much interacts with normal matter. So much so, that this is how we know that even distant regions of the visible universe are dominated by normal matter, not antimatter. How do we know? Matter is everywhere, there are hydrogen atoms even in intergalactic space. If there were, e.g., distant galaxy clusters made of antimatter, the boundary region between antimatter and normal matter regions would “glow” in the gamma ray part of the spectrum from the occasional matter-antimatter interactions. Granted, in the very low density intergalactic medium, such collisions would be infrequent, but on the other hand, the volumes are ginormous, and the resulting gamma ray background would be observable.",no
"Do electromagnetic waves have momentum? If so, do waves and sound waves have momentum? Yes, electromagnetic waves have both energy and momentum. When an object emits some light in a specific direction, it is pushed backwards ever so slightly. Similarly, when an object absorbs or reflects light, it is pushed by that light. (Experimental spacecraft with solar sails use the momentum of sunlight to accelerate.) As to sound waves, you can even visualize it. A sound wave is a pressure wave. Recall what happens when a very loud sound wave hits, say, a window pane. The glass shatters. It shatters because of the force (change in momentum) as momentum from the incoming sound wave is transferred to the glass. So yes, sound waves also carry momentum. As do waves in general. Here, I just stumbled upon this article by a Charles S. Peskin that tells you everything you need to know about the momentum of waves. For a second, I thought it was the Peskin of ""Peskin and Schroeder"" fame, i.e., one of the authors of perhaps the best current textbook on quantum field theory, but no, that's another Pesking, Michael E. Even so, this write-up on wave momenta is good. Yes there's math but I think also enough explanation for it to make sense even if you skip over most of the equations. If you find my posts useful, please consider supporting my efforts.",yes
"Why is light a particle and a wave at the same time? Can you explain the two slot experiment? “Wave-particle duality” is another one of those unfortunate phrases that are invented to help explain a difficult concept, but do more harm than good in the end. So here is the thing when it comes to quantum phenomena: the exact outcome of a measurement, carried out using a classical instrument (say, the human eyeball) cannot be predicted. We can only predict probabilities. But it’s not like “classical” probabilities. The limitation does not arise from the fact that we lack full knowledge of the system. Rather, the exact outcome of an experiment does not exist until, well, until it exists. It is not some technological limitation: it is not predictable in principle. But then… what can we predict? We can predict probabilities. And these probabilities are governed by an equation that, for all practical intents and purposes, travel like a wave. Waves that interfere with one another. Waves that reinforce or cancel one another at various places. In the end, though we do not observe these waves. We observe, say, the impact of a photon. There! A particle, making its appearance at a specific place, say, a specific point on your retina when you see a brief flash of light. But “en route”, there was no particle. We cannot identify the path that the particle traveled in order to reach its destination because no such path exists. What we can do is explore that “probability wave” as it “travels” from source to destination. This allows us to assign specific probabilities as to where the “particle” might be observed when it comes to that. So you see… that thing we observe is really not a particle: a particle, like a miniature cannonball, would follow a well-defined trajectory, and in this case, no such trajectory exists. But that thing we observe is really not a wave either. The “wave” in question is a mathematical abstraction, a probability amplitude, not a “thing”. The “thing” is the impact of the photon on your retina, which is particle-like behavior, but again, a true particle would have a path associated with it. And it is this point that I need to offer a reminder that, like it or not, quantum physics cannot be intuited. It is outside the ability of the human mind to intuit these things, just as, say, a language model like GPT cannot “intuit” an image or a sound, as it lacks the ability to process images or sounds. It can still reason about them, but that reasoning requires discipline and, well, knowledge of mathematics. We are in the same shoes here: With our scientific discipline and mathematical tools, we can make robust predictions about the quantum world. But we make these predictions precisely because we let go of our desire to intuit the quantum world and instead, chose to follow the math (verified by experiment, of course). So that’s my advice: Do not take this “wave-particle” business literally, as an invitation to try to intuit the unintuitable. Or if you must, at least remind yourself that the “wave” is a probability wave (not a physical thing), and the “particle” is not really a particle with a definite path, even if in the end, when we observe it (but only then!) it may masquerade as one. If you find my posts useful, please consider supporting my efforts.",yes
"How can Victor K. Toth say that matter does not create gravity, when the Nobel Prize winning physicist, Stephen Weinberg said that it’s a two-way street, “matter creates space-time, and space-time determines matter’s path”? Maybe because… If you find my posts useful, please consider supporting my efforts.",no
"What are tensors (as used in special/general relativity) exactly? Oh my, this is a hard question to answer... at least in a form suitable for a Quora answer. Let me try to keep it as simple as possible, which means necessarily skipping over some details, but still. You know what vectors are, right? Basically, quantities that have a magnitude and a direction. You may have learned to form inner products of vectors, but that's a misleading notion on its own right. The inner product is formed between a vector and a ""covector"". One way to think about it, perhaps, is that whereas a vector may be measuring a length and a direction, a covector is measuring the change of something along that length. So whereas vectors are measured using, say, meters or feet, covectors are measured using ""inverse"" units of length, i.e., meters or feet are now in the denominator. So say, a vector measures a length in a certain direction as 1 meter. Or 100 centimeters. Someone says that they have distributed marbles with a density of 10 marbles per meter. Or 0.1 marbles per centimeter. So now you form an inner product... between a 1-meter vector and the marble density of 10 marbles per meter. Multiply the two, and you get 10 marbles. Change the coordinate system from meters to centimeters: Now you have a 100-cm vector and 0.1 marbles per cm. Multiply the two and... again you get 10 marbles! The inner product between a vector and a covector yields a ""scalar"", a pure number that does not depend on the choice of coordinate system. This is important. So then, we can actually ""define"" a covector as the thing that maps a vector into a scalar by applying the inner product. What do you call a thing that maps not one but two vectors into a scalar? Wait, two vectors? Why would we want to do that? Well, how about characterizing how a force works on a surface. The force is a vector. The surface, a small surface element that is, can be characterized by a vector: its ""normal"" vector indicating its orientation and size. In continuum mechanics, we look at surface elements and the force acting on them. That force can be present due to pressure and stresses in the material. The point is, we need to relate these two vectors together... and the relationship is accomplished by introducing a thing called the ""stress tensor"", which can basically form an inner product with this pair of vectors. This also happens to be one of the earliest (early 19th century!) applications of tensors in physics. And this then allows us to generalize. If a covector maps a vector into a scalar, a covariant rank-N tensor can map N vectors into a scalar. Conversely, a vector can map a covector into a scalar; so a contravariant rank-N tensor can map N covectors into a scalar. And it is then easy to form ""mixed index"" tensors that map a collection of, say, N vectors and K covectors into a scalar. That's what tensors do: establish a relationship between vectors and covectors, mapping them into scalar quantities that do not depend on the choice of coordinate system in which the vectors are measured or expressed. Rank-2 tensors can be easily represented using matrices (though technically, it's only the rank-2 mixed index tensors, which map one vector and one covector into a scalar, that should be written as such, rows corresponding to the covariant, columns to the contravariant features of the tensor.) Higher-rank tensors are not that easy to represent as they require either multiple matrices or higher-domensional (cubic, etc.) structures which are not easy to put on paper. One of the wonderful things about tensors, however, is that they allow us to talk about physics without picking a specific coordinate system! If a vector V and a covector U form a scalar, say, V ⋅ U = 1 , that equation remains valid regardless of the coordinate system chosen. This allows us to distinguish physics (the actual things) from mathematics (the representation of those things) very cleanly. Going back to the inner product, we can of course calculate the inner product between two vectors if we have a corresponding rank-2 covariant tensor that we use to map the pair of vectors into a number. The ""metric tensor"" does this. The number, in this case, may be the length of the small difference between two near-identical vectors. This turns out to be an effective measure of the intrinsic geometry of the plane, of space, of spacetime. Normally, this ""metric tensor"" is just a generalization of the Pythagorean rule to calculate distances. But things get more complicated in general relativity, where the geometry of spacetime varies from place to place. So say, take a vector. Displace it so that it moves a tiny distance away, following a closed path, arriving back at its point of origin. So now you have a second vector (the direction of the displacement); a third vector (the direction the displaced vector follows when it arrives back at the point of origin); and a fourth vector (the final vector after arrival). The first and the fourth vector would be identical in Euclidean space. They are not in general relativity. The rank-4 tensor that relates these four vectors is the ""Riemann curvature tensor"", its value changing from point to point reflecting changing curvature. The relationship between this curvature tensor and the presence of matter amounts to the fundamental statement of general relativity, in the form of Einstein's field equations. Well, that's the gist of it. As I said, I glossed over many details. But hopefully at least it's a meaningful glimpse of the role of tensors in physics, relativity theory in particular. If you find my posts useful, please consider supporting my efforts.",yes
"Can a black hole at its center be destroyed? If so, what would be the method to do so? Would the intense gravity make it impossible to escape and cause any damage? Let me describe to you an imaginary journey into a classical black hole. (""Classical"" in the sense that I am ignoring quantum effects, notably Hawking radiation, which might even prevent the black hole from forming in the first place. So let's say that you are not only in a very good spaceship, but you are also almost imprevious to extreme acceleration and extreme tidal forces. You hope into your spaceship, travel to the nearest collapsing sphere of matter that will ultimately form a black hole, and choose a trajectory that will end up in the black hole as well. If the collapsing matter has negligible pressure, its collapse will not be slowed down by any means. Yet to those on the outside, the process of the collapse will appear to slow as the cloud gets close to becoming a black hole. That is because of extreme gravitational time dilation: anything that happens near this collapsing cloud of matter will appear in slow motion to anyone far away. Not to you though. You will find that you will approach the surface of this collapsing cloud, but you won't quite be able to catch up with it. Meanwhile, however, as the gravitational field gets stronger, you will notice that what was a spherical surface below now appears to ""curl up"" on the sides. That is because of the gravitational deflection of light: many light rays that start off going upward will be bent downward, so they will appear to hit your eyeball from above! What was one a surface below begins to form a wall around you, and soon enough, it will feel like you are in a vertical tunnel, or well, its opening rapidly closing above you. Suppose you chicken out at the very last split second, punch a button, and with your Extremely Powerful Rocket [tm] you escape. Much to your surprise, you'll find that what has taken only a few seconds by your reckoning took a year outside. Or a thousand years. Or a quintillion years. This is why those on the outside can never be sure that the black hole even forms; no matter how long they wait, there's a chance that you re-emerge. It's only a question of how close you cut it before punching out. But what if you don't? Well, there will be a moment when the matter above your head closes up. There is no opening anymore. No walls really, either, as this is also the moment when you caught up with all the collapsing matter after all, so now you are inside the cloud. Inside a homogeneous (same everywhere) isotropic (no preferred direction) cloud of matter that forms a collapsing mini-universe, in which you are trapped. The moment when this happened is the event horizon. NOT a place. Not a location to which you can return. A moment — now a moment in the past — of time. So without a time machine, you are doomed. This mini-universe is a collapsing universe, the exact opposite of the kind of universe we seem to live in, outside of the black hole. Second by second, minute by minute it becomes denser. (Or millisecond by millisecond, if the collapsing cloud weighed ""only"" as much as, say, three times the mass of our Sun, or a million times the mass of the Earth.) Did I say same everywhere? Yes, I did. I meant it. There is no center, no edge of this cloud. This entire self-enclosed mini-universe is filled with matter everywhere. And you have very little time left. And perhaps that's when you recall something that you may have heard before in the past: The so-called ""singularity"" is not some center either. Rather, it is the moment in time when density, pressure, temperature, etc., everything in this mini-universe diverges, becomes infinite. The mini-universe ceases to exist (it's called geodesic incompleteness). Along with you, of course. Think this scenario through and now contemplate if it is even meaningful to talk about ""destroying"" a black hole. What exactly would that ""destruction"" do? Remember, to those on the outside, the black hole does not even exist yet, no matter how long they wait. Whereas for those on the inside, the black hole is the ONLY thing that exists, and its fate is sealed: soon enough everything, including time itself (!) comes to an end in this doomed mini-universe.",yes
"Einstein believed quantum mechanics wasn’t fundamental and there must be a deeper theory. Was he correct? Well… yes and no, but context is all-important here. Einstein passed away in 1955. At the time, modern quantum field theory was still in its infancy. Yang-Mills theory that proved fundamental to the development of the Standard Model was just a few months old. In any case, I doubt Einstein had more than a very superficial familiarity with then-recent developments. The quantum mechanics that he was familiar with was basically quantum particle theory, characterized by the Schrödinger equation or maybe the relativistic Dirac equation, which were predominantly interpreted in accordance with the Copenhagen school as equations that yield a probability amplitude. Quite clearly, Einstein was not comfortable with physics that yielded only probabilities. Moreover, the Copenhagen interpretation assigns a role to the “observer”, which is fundamentally at odds with a world view in which Nature does what it does, regardless of whether it is observed or not by a human, a cat, or some instrument. So what do we know that Einstein didn’t? For starters, modern quantum field theory and the Standard Model of particle physics. Then there’s also Bell’s theorem that demonstrates that quantum physics is essentially nonlocal, which is to say, the behavior of the system is governed, in part, by constraints that cannot be nailed down to any specific location in space or moment in time. What it means, in practice, is that the state of a quantum system is constrained not just by the past and the present but also by the future, yet the physics remains causal in the sense that rearranging something in the future has no observable consequences on the past (sorry, no quantum time machines). In light of this, the probabilistic interpretation gains a new meaning: ignore the future constraint and the system becomes underdetermined. Instead of telling us what the future will be, the (underdetermined) wavefunction now indeed just yields probabilities. When the future becomes the present, and the outcome of an experiment becomes known, the probability becomes a certainty and we can replace the old wavefunction with a new one (“wavefunction collapse”) in our description of the system. Would this have made Einstein more comfortable? I don’t know. But I do believe that this is markedly different from the quantum physics Einstein knew. Which implies that yes, he was right to criticize quantum mechanics and, in particular, its Copenhagen interpretation. As a local theory, quantum mechanics is necessarily incomplete (again, I am alluding to Bell’s theorem here) and leads to the unsatisfying probabilistic Copenhagen interpretation. But what we got in exchange is, in some ways, even weirder. Yes, quantum field theory has spectacular successes. It can do what quantum mechanics could not ever do, model how particles are created and destroyed. It is also robustly causal and relativistic. But it is just as nonlocal as quantum physics has ever been, and with Bell’s theorem, we know that this nonlocality is not going to go away. Then there’s the problem of renormalizability: We have no renormalizable quantum field theory of gravitation. To many, it seems to imply that the Standard Model (and by extension, quantum field theory as a whole) is just a useful “effective” theory, which will fail at the Planck energy scale, to be replaced by something more fundamental that would unify particle physics with gravity in a more satisfactory way than, say, semiclassical gravity. But much of what I described here happened after Einstein’s death. The quantum theory that he was critical of was really not modern quantum field theory, but quantum particle physics, along with the probabilistic Copenhagen interpretation. I think his criticism of that school of thought was spot on. What was not spot on is his relentless attempt to construct a more fundamental classical theory, which consumed much of his time in the final decades of his life, but ultimately proved futile, little more than a half-forgotten footnote in the history of modern physics. (To anyone seriously interested in the subject, beyond the superb scientific biography of Einstein by Abraham Pais, I’d recommend the hard-to-find 1966 monograph, Einstein’s Unified Field Theory, by Marie-Antoinette Tonnelat.) If you find my posts useful, please consider supporting my efforts.",yes
